graph,app,l3_size,sim,LRU,SRRIP,GRASP,POPT,ECG_DBG_PRIMARY,winner,verdict
cit-Patents,bc,1MB,cache_sim,0.9451,0.9426,0.9295,0.9290,—,POPT,single
cit-Patents,bfs,1MB,cache_sim,0.9815,0.9791,0.9738,0.9724,—,POPT,single
cit-Patents,pr,1MB,cache_sim,0.8951,0.8803,0.8182,0.7301,—,POPT,single
cit-Patents,sssp,1MB,cache_sim,0.8768,0.8701,0.8336,0.8397,—,GRASP,single
com-orkut,pr,1MB,cache_sim,0.7426,0.7065,0.6383,0.6353,—,POPT,single
soc-LiveJournal1,bc,1MB,cache_sim,0.8649,0.8501,0.8312,0.8251,—,POPT,single
soc-LiveJournal1,bfs,1MB,cache_sim,0.8357,0.8107,0.7837,0.7860,—,GRASP,single
soc-LiveJournal1,pr,1MB,cache_sim,0.7654,0.7340,0.6825,0.6312,—,POPT,single
soc-LiveJournal1,sssp,1MB,cache_sim,0.7439,0.7177,0.6820,0.6707,—,POPT,single
soc-pokec,bc,1MB,cache_sim,0.8597,0.8442,0.8108,0.8097,—,POPT,single
soc-pokec,pr,1MB,cache_sim,0.6962,0.6517,0.5557,0.5266,—,POPT,single
soc-pokec,sssp,1MB,cache_sim,0.6719,0.6366,0.5581,0.5830,—,GRASP,single
web-Google,bc,1MB,cache_sim,0.8027,0.8069,0.8238,0.8216,—,LRU,single
web-Google,bfs,1MB,cache_sim,0.9804,0.9796,0.9444,0.9556,—,GRASP,single
web-Google,pr,1MB,cache_sim,0.5984,0.5409,0.4509,0.3840,—,POPT,single
