module,class,decorator_kwargs,field,annotation,default
scripts/experiments/ecg/paper_baseline_table.py,Row,frozen=True,graph,str,none
scripts/experiments/ecg/paper_baseline_table.py,Row,frozen=True,app,str,none
scripts/experiments/ecg/paper_baseline_table.py,Row,frozen=True,l3_size,str,none
scripts/experiments/ecg/paper_baseline_table.py,Row,frozen=True,miss,"dict[str, float]",none
scripts/experiments/ecg/paper_baseline_table.py,Row,frozen=True,delta,"dict[str, float]",none
scripts/experiments/ecg/paper_baseline_table.py,Row,frozen=True,verdict,"dict[str, str]",none
scripts/experiments/ecg/paper_baseline_table.py,Row,frozen=True,accesses,int,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,graph,str,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,app,str,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,l3_size,str,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,policy,str,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,expected_sign,str,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,min_abs_delta_pct,float | None,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,max_abs_delta_pct,float | None,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,tolerance_pct,float,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,rationale,str,none
scripts/experiments/ecg/literature_baselines.py,LiteratureClaim,frozen=True,citation,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,name,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,l1d_size,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,l1d_ways,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,l2_size,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,l2_ways,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,l3_size,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,l3_ways,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,line_size,str,none
scripts/experiments/ecg/literature_baselines.py,CacheOrg,frozen=True,rationale,str,none
scripts/experiments/ecg/corpus_diversity.py,GraphProfile,,graph,str,none
scripts/experiments/ecg/corpus_diversity.py,GraphProfile,,log_path,str,none
scripts/experiments/ecg/corpus_diversity.py,GraphProfile,,nodes,int,literal:0
scripts/experiments/ecg/corpus_diversity.py,GraphProfile,,edges,int,literal:0
scripts/experiments/ecg/corpus_diversity.py,GraphProfile,,edges_directed,bool,literal:False
scripts/experiments/ecg/corpus_diversity.py,GraphProfile,,features,dict,factory:field(default_factory=dict)
scripts/experiments/ecg/gem5_anchor_summary.py,CellSummary,,graph,str,none
scripts/experiments/ecg/gem5_anchor_summary.py,CellSummary,,app,str,none
scripts/experiments/ecg/gem5_anchor_summary.py,CellSummary,,l3_size,str,none
scripts/experiments/ecg/gem5_anchor_summary.py,CellSummary,,miss_rate_by_policy,"dict[str, float]",factory:field(default_factory=dict)
scripts/experiments/ecg/gem5_anchor_summary.py,CellSummary,,ok_rows,int,literal:0
scripts/experiments/ecg/gem5_anchor_summary.py,CellSummary,,error_rows,int,literal:0
scripts/experiments/ecg/gem5_anchor_summary.py,AnchorInvariant,,name,str,none
scripts/experiments/ecg/gem5_anchor_summary.py,AnchorInvariant,,status,str,none
scripts/experiments/ecg/gem5_anchor_summary.py,AnchorInvariant,,detail,str,none
