path,fn_name,flag,action,nargs,required
scripts/experiments/ecg/final_paper_run.py,parse_args,--manifest,store,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--profile,store,+,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--run-dir,store,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--graph-dir,store,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--only,store,+,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--skip,store,+,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--graph,store,+,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--benchmark,store,+,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--policy,store,+,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--job,store,+,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--from-job,store,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--limit,store,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--list,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--status,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--check-graphs,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--dry-run,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--resume,BooleanOptionalAction,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--force,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--skip-failed,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--stop-on-error,BooleanOptionalAction,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--no-build,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--allow-missing-graphs,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--skip-validation-gate,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--require-validation-gate,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--literature-gate-root,store,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--literature-gate-subdir,store,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--require-literature-gate,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--skip-literature-gate,store_true,,False
scripts/experiments/ecg/final_paper_run.py,parse_args,--lock-path,store,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--profiles,store,+,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--run-root,store,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--input-run-dirs,store,+,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--input-run-glob,store,+,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--input-csv,store,+,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--input-csv-glob,store,+,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--skip-run,store_true,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--dry-run,store_true,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--no-build,store_true,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--allow-missing-graphs,store_true,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--force,store_true,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--no-stop-on-error,store_false,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--copy-to-paper,store_true,,False
scripts/experiments/ecg/paper_pipeline.py,parse_args,--skip-literature-gate,store_true,,False
