path,fn,args,defaults,returns,is_async,vararg,kwarg,kwonly
scripts/experiments/ecg/final_paper_run.py,utc_now,,,str,False,,,
scripts/experiments/ecg/final_paper_run.py,now_tag,,,str,False,,,
scripts/experiments/ecg/final_paper_run.py,sanitize,text,.,str,False,,,
scripts/experiments/ecg/final_paper_run.py,normalize_filter_token,text,.,str,False,,,
scripts/experiments/ecg/final_paper_run.py,token_matches,text|filters,..,bool,False,,,
scripts/experiments/ecg/final_paper_run.py,filter_policy_specs,policies|filters,..,list[str],False,,,
scripts/experiments/ecg/final_paper_run.py,load_manifest,path,.,dict[str, Any],False,,,
scripts/experiments/ecg/final_paper_run.py,resolve_path,path_text|base,.D,Path,False,,,
scripts/experiments/ecg/final_paper_run.py,find_graph_path,graph|graph_dir|allow_missing,...,Path | None,False,,,
scripts/experiments/ecg/final_paper_run.py,graph_uses_synthetic_options,graph,.,bool,False,,,
scripts/experiments/ecg/final_paper_run.py,options_for,manifest|graph|graph_path|benchmark,....,str,False,,,
scripts/experiments/ecg/final_paper_run.py,merged_defaults,manifest|stage,..,dict[str, Any],False,,,
scripts/experiments/ecg/final_paper_run.py,expand_jobs,args|manifest|run_dir,...,list[Job],False,,,
scripts/experiments/ecg/final_paper_run.py,make_proof_job,args|run_dir|settings,...,Job,False,,,
scripts/experiments/ecg/final_paper_run.py,make_roi_job,args|manifest|run_dir|settings|graph|graph_path|benchmark,.......,Job,False,,,
scripts/experiments/ecg/final_paper_run.py,csv_status,path,.,tuple[str, str],False,,,
scripts/experiments/ecg/final_paper_run.py,final_profiles_requested,profiles,.,bool,False,,,
scripts/experiments/ecg/final_paper_run.py,validate_gate,run_dir|strict,..,bool,False,,,
scripts/experiments/ecg/final_paper_run.py,validate_literature_gate,run_dir|sweep_root|sweep_subdir|strict,....,bool,False,,,
scripts/experiments/ecg/final_paper_run.py,validate_job_graphs,run_dir|jobs|strict,...,bool,False,,,
scripts/experiments/ecg/final_paper_run.py,latest_run_dir,,,Path,False,,,
scripts/experiments/ecg/final_paper_run.py,latest_job_events,run_dir,.,dict[str, dict[str, Any]],False,,,
scripts/experiments/ecg/final_paper_run.py,display_status,row|latest_events,..,tuple[str, str],False,,,
scripts/experiments/ecg/final_paper_run.py,print_run_status,run_dir,.,int,False,,,
scripts/experiments/ecg/final_paper_run.py,command_text,command,.,str,False,,,
scripts/experiments/ecg/final_paper_run.py,write_run_manifest,run_dir|args|manifest|jobs,....,None,False,,,
scripts/experiments/ecg/final_paper_run.py,write_combined_outputs,run_dir|jobs,..,None,False,,,
scripts/experiments/ecg/final_paper_run.py,write_preflight,run_dir|args,..,None,False,,,
scripts/experiments/ecg/final_paper_run.py,run_lock,lock_path,.,Iterator[None],False,,,
scripts/experiments/ecg/final_paper_run.py,should_run,job|args,..,tuple[bool, str],False,,,
scripts/experiments/ecg/final_paper_run.py,append_status,run_dir|record,..,None,False,,,
scripts/experiments/ecg/final_paper_run.py,terminate_process_group,process|log|timeout_s,..D,int,False,,,
scripts/experiments/ecg/final_paper_run.py,run_job,job|run_dir|args,...,int,False,,,
scripts/experiments/ecg/final_paper_run.py,print_job_list,jobs,.,None,False,,,
scripts/experiments/ecg/final_paper_run.py,filter_jobs,jobs|args,..,list[Job],False,,,
scripts/experiments/ecg/final_paper_run.py,parse_args,argv,.,argparse.Namespace,False,,,
scripts/experiments/ecg/final_paper_run.py,main,argv,.,int,False,,,
scripts/experiments/ecg/paper_pipeline.py,utc_now,,,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,now_tag,,,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,resolve_path,path_text,.,Path,False,,,
scripts/experiments/ecg/paper_pipeline.py,command_text,command,.,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,read_csv,path,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,write_csv,path|rows,..,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,as_float,value,.,float | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,parse_size_bytes,value,.,float | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,pct_delta,value|baseline,..,float | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,safe_ratio,numerator|denominator,..,float | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,thread_count,row,.,int | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,metric_direction,value|reference|tolerance,..D,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,avg,values,.,float | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,geo_mean,values,.,float | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,policy_sort_key,policy,.,tuple[int, str],False,,,
scripts/experiments/ecg/paper_pipeline.py,benchmark_sort_key,benchmark,.,tuple[int, str],False,,,
scripts/experiments/ecg/paper_pipeline.py,benchmark_label,benchmark,.,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,policy_label,policy,.,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,policy_label_rows,policies,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,effective_l3_misses,row,.,float | None,False,,,
scripts/experiments/ecg/paper_pipeline.py,timing_valid_for_speedup,row,.,bool,False,,,
scripts/experiments/ecg/paper_pipeline.py,timing_valid_label,row,.,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,timing_model_label,row,.,str,False,,,
scripts/experiments/ecg/paper_pipeline.py,compare_key,row,.,tuple[Any, ...],False,,,
scripts/experiments/ecg/paper_pipeline.py,run_profile,args|run_root|profile,...,Path,False,,,
scripts/experiments/ecg/paper_pipeline.py,collect_csvs,run_dirs|input_csvs,..,tuple[list[dict[str, Any]], list[dict[str, Any]]],False,,,
scripts/experiments/ecg/paper_pipeline.py,summarize_roi,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,roi_relative_metrics,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,proof_relative_metrics,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,summarize_relative,rows|metrics,..,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,charged_overhead,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,faithfulness_summary,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,popt_storage_overhead_summary,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,ecg_mode_overhead_rows,,,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,prefetch_quality_summary,roi_rows|proof_rows,..,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,thread_scaling_metrics,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,backend_direction_agreement,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,sniper_cpi_stack_summary,rows,.,list[dict[str, Any]],False,,,
scripts/experiments/ecg/paper_pipeline.py,write_latex_table,path|rows|fields|caption,....,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,set_paper_plot_style,,,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,save_figure,path,.,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,plot_metric_by_policy,path|rows|metric|xlabel|value_format|reference,......,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,plot_grouped_metric_by_benchmark,path|rows|metric|ylabel|reference|summary_label|summary_mode,.......,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,plot_charged_overhead,path|rows,..,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,plot_sniper_thread_scaling,path|rows,..,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,l_curve_rows,roi_rows,.,dict[tuple[str, str], list[dict[str, Any]]],False,,,
scripts/experiments/ecg/paper_pipeline.py,plot_l_curve,path|group_key|entries,...,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,generate_outputs,out_dir|roi_rows|proof_rows|copy_to_paper,....,None,False,,,
scripts/experiments/ecg/paper_pipeline.py,parse_args,argv,.,argparse.Namespace,False,,,
scripts/experiments/ecg/paper_pipeline.py,main,argv,.,int,False,,,
