path,flag,action,nargs
scripts/experiments/ecg/proof_matrix.py,--ablations,store,+
scripts/experiments/ecg/proof_matrix.py,--benchmarks,store,+
scripts/experiments/ecg/proof_matrix.py,--bfs-options,store,
scripts/experiments/ecg/proof_matrix.py,--dry-run,store_true,
scripts/experiments/ecg/proof_matrix.py,--graph-path,store,
scripts/experiments/ecg/proof_matrix.py,--l1d-size,store,
scripts/experiments/ecg/proof_matrix.py,--l2-size,store,
scripts/experiments/ecg/proof_matrix.py,--l3-sizes,store,+
scripts/experiments/ecg/proof_matrix.py,--l3-ways,store,
scripts/experiments/ecg/proof_matrix.py,--line-size,store,
scripts/experiments/ecg/proof_matrix.py,--no-build,store_true,
scripts/experiments/ecg/proof_matrix.py,--omp-threads,store,
scripts/experiments/ecg/proof_matrix.py,--out-dir,store,
scripts/experiments/ecg/proof_matrix.py,--pfx-window,store,
scripts/experiments/ecg/proof_matrix.py,--pr-options,store,
scripts/experiments/ecg/proof_matrix.py,--sssp-options,store,
scripts/experiments/ecg/proof_matrix.py,--timeout-cache,store,
scripts/experiments/ecg/roi_matrix.py,--all-policies,store_true,
scripts/experiments/ecg/roi_matrix.py,--allow-gem5-ecg-pfx,store_true,
scripts/experiments/ecg/roi_matrix.py,--allow-sniper-benchmark-workload,store_true,
scripts/experiments/ecg/roi_matrix.py,--allow-sniper-sg-kernel-workload,store_true,
scripts/experiments/ecg/roi_matrix.py,--benchmark,store,
scripts/experiments/ecg/roi_matrix.py,--droplet-indirect-degree,store,
scripts/experiments/ecg/roi_matrix.py,--droplet-prefetch-degree,store,
scripts/experiments/ecg/roi_matrix.py,--droplet-stride-table-size,store,
scripts/experiments/ecg/roi_matrix.py,--dry-run,store_true,
scripts/experiments/ecg/roi_matrix.py,--ecg-pfx-delivery,store,
scripts/experiments/ecg/roi_matrix.py,--ecg-pfx-hint-filter,store,
scripts/experiments/ecg/roi_matrix.py,--ecg-pfx-lookahead,store,
scripts/experiments/ecg/roi_matrix.py,--ecg-pfx-mode,store,
scripts/experiments/ecg/roi_matrix.py,--ecg-pfx-window,store,
scripts/experiments/ecg/roi_matrix.py,--l1d-size,store,
scripts/experiments/ecg/roi_matrix.py,--l1d-ways,store,
scripts/experiments/ecg/roi_matrix.py,--l2-size,store,
scripts/experiments/ecg/roi_matrix.py,--l2-ways,store,
scripts/experiments/ecg/roi_matrix.py,--l3-sizes,store,+
scripts/experiments/ecg/roi_matrix.py,--l3-ways,store,
scripts/experiments/ecg/roi_matrix.py,--line-size,store,
scripts/experiments/ecg/roi_matrix.py,--no-build,store_true,
scripts/experiments/ecg/roi_matrix.py,--options,store,
scripts/experiments/ecg/roi_matrix.py,--out-dir,store,
scripts/experiments/ecg/roi_matrix.py,--policies,store,+
scripts/experiments/ecg/roi_matrix.py,--popt-active-columns,store,
scripts/experiments/ecg/roi_matrix.py,--popt-min-data-ways,store,
scripts/experiments/ecg/roi_matrix.py,--popt-num-epochs,store,
scripts/experiments/ecg/roi_matrix.py,--popt-property-bytes,store,
scripts/experiments/ecg/roi_matrix.py,--prefetcher,store,
scripts/experiments/ecg/roi_matrix.py,--prefetcher-level,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-address-domain,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-base-config,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-config,store,*
scripts/experiments/ecg/roi_matrix.py,--sniper-cores,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-enable-graph-policies,store_true,
scripts/experiments/ecg/roi_matrix.py,--sniper-frontend,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-memory-limit-gb,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-mimicos-kernel-mb,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-mimicos-memory-mb,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-omp-wait-policy,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-root,store,
scripts/experiments/ecg/roi_matrix.py,--sniper-workload,store,
scripts/experiments/ecg/roi_matrix.py,--suite,store,
scripts/experiments/ecg/roi_matrix.py,--threads,store,+
scripts/experiments/ecg/roi_matrix.py,--timeout-cache,store,
scripts/experiments/ecg/roi_matrix.py,--timeout-gem5,store,
scripts/experiments/ecg/roi_matrix.py,--timeout-sniper,store,
