module,class,decorator_kwargs,field,annotation,default
scripts/experiments/ecg/roi_matrix.py,PolicySpec,frozen=True,label,str,none
scripts/experiments/ecg/roi_matrix.py,PolicySpec,frozen=True,policy,str,none
scripts/experiments/ecg/roi_matrix.py,PolicySpec,frozen=True,ecg_mode,str | None,literal:None
scripts/experiments/ecg/roi_matrix.py,PolicySpec,frozen=True,charge_popt_overhead,bool,literal:False
scripts/experiments/ecg/proof_matrix.py,Ablation,frozen=True,label,str,none
scripts/experiments/ecg/proof_matrix.py,Ablation,frozen=True,group,str,none
scripts/experiments/ecg/proof_matrix.py,Ablation,frozen=True,policy,str,none
scripts/experiments/ecg/proof_matrix.py,Ablation,frozen=True,pfx_mode,int,literal:0
scripts/experiments/ecg/proof_matrix.py,Ablation,frozen=True,pfx_lookahead,int,literal:0
scripts/experiments/ecg/proof_matrix.py,Ablation,frozen=True,note,str,literal:''
scripts/experiments/ecg/proof_matrix.py,AdaptiveSelector,frozen=True,label,str,none
scripts/experiments/ecg/proof_matrix.py,AdaptiveSelector,frozen=True,candidates,"tuple[str, ...]",none
scripts/experiments/ecg/proof_matrix.py,AdaptiveSelector,frozen=True,note,str,none
