path,flag,action,nargs
scripts/experiments/ecg/runner.py,--all,store_true,
scripts/experiments/ecg/runner.py,--section,store,
scripts/experiments/ecg/runner.py,--exp,store,+
scripts/experiments/ecg/runner.py,--preview,store_true,
scripts/experiments/ecg/runner.py,--dry-run,store_true,
scripts/experiments/ecg/runner.py,--graph-dir,store,
scripts/experiments/vldb/runner.py,--all,store_true,
scripts/experiments/vldb/runner.py,--exp,store,+
scripts/experiments/vldb/runner.py,--preview,store_true,
scripts/experiments/vldb/runner.py,--dry-run,store_true,
scripts/experiments/vldb/runner.py,--graphs,store,+
scripts/experiments/vldb/runner.py,--graph-dir,store,
scripts/experiments/vldb/runner.py,--64gb,store_true,
scripts/experiments/vldb/runner.py,--local,store_true,
scripts/experiments/vldb/runner.py,--skip-setup,store_true,
scripts/experiments/vldb/runner.py,--skip-download,store_true,
scripts/experiments/vldb/runner.py,--no-figures,store_true,
scripts/experiments/vldb/runner.py,--figures-only,store_true,
