graph,app,l3_size,policy,miss_rate,delta_vs_lru_pct,l3_accesses,claim_status,claim_citation
cit-Patents,bc,1MB,GRASP,0.929529,-1.5588,,ok,Faldu et al. HPCA 2020 Fig 11
cit-Patents,bc,1MB,LRU,0.945117,+0.0000,,no_claim,
cit-Patents,bc,1MB,POPT,0.936885,-0.8232,,no_claim,
cit-Patents,bc,1MB,SRRIP,0.942569,-0.2548,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bc,4MB,GRASP,0.782743,-3.6184,,no_claim,
cit-Patents,bc,4MB,LRU,0.818927,+0.0000,,no_claim,
cit-Patents,bc,4MB,POPT,0.814955,-0.3972,,no_claim,
cit-Patents,bc,4MB,SRRIP,0.808237,-1.0690,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bc,8MB,GRASP,0.641045,-4.5366,,no_claim,
cit-Patents,bc,8MB,LRU,0.686411,+0.0000,,no_claim,
cit-Patents,bc,8MB,POPT,0.694021,+0.7610,,no_claim,
cit-Patents,bc,8MB,SRRIP,0.666055,-2.0356,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bfs,1MB,GRASP,0.973837,-0.7623,,ok,Faldu et al. HPCA 2020 Fig 11
cit-Patents,bfs,1MB,LRU,0.981460,+0.0000,,no_claim,
cit-Patents,bfs,1MB,POPT,0.975989,-0.5471,,no_claim,
cit-Patents,bfs,1MB,SRRIP,0.979057,-0.2403,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bfs,4MB,GRASP,0.902658,-4.4057,,no_claim,
cit-Patents,bfs,4MB,LRU,0.946715,+0.0000,,no_claim,
cit-Patents,bfs,4MB,POPT,0.920281,-2.6434,,no_claim,
cit-Patents,bfs,4MB,SRRIP,0.941754,-0.4961,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bfs,8MB,GRASP,0.871203,-5.0160,,no_claim,
cit-Patents,bfs,8MB,LRU,0.921363,+0.0000,,no_claim,
cit-Patents,bfs,8MB,POPT,0.858533,-6.2830,,no_claim,
cit-Patents,bfs,8MB,SRRIP,0.918701,-0.2662,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,cc,1MB,GRASP,0.596178,-7.0642,,no_claim,
cit-Patents,cc,1MB,LRU,0.666820,+0.0000,,no_claim,
cit-Patents,cc,1MB,POPT,0.578232,-8.8588,,no_claim,
cit-Patents,cc,1MB,SRRIP,0.626239,-4.0581,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
cit-Patents,cc,4MB,GRASP,0.269624,-6.7290,,no_claim,
cit-Patents,cc,4MB,LRU,0.336914,+0.0000,,no_claim,
cit-Patents,cc,4MB,POPT,0.297400,-3.9514,,no_claim,
cit-Patents,cc,4MB,SRRIP,0.313595,-2.3319,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
cit-Patents,cc,8MB,GRASP,0.159028,-3.8939,,no_claim,
cit-Patents,cc,8MB,LRU,0.197967,+0.0000,,no_claim,
cit-Patents,cc,8MB,POPT,0.170627,-2.7340,,no_claim,
cit-Patents,cc,8MB,SRRIP,0.175707,-2.2260,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
cit-Patents,pr,1MB,GRASP,0.818199,-7.6907,,ok,Faldu et al. HPCA 2020 Fig 10
cit-Patents,pr,1MB,LRU,0.895106,+0.0000,,no_claim,
cit-Patents,pr,1MB,POPT,0.761075,-13.4031,,ok,Balaji & Lucia HPCA 2021 Fig 9
cit-Patents,pr,1MB,SRRIP,0.880294,-1.4812,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
cit-Patents,pr,4MB,GRASP,0.453217,-13.6835,,no_claim,
cit-Patents,pr,4MB,LRU,0.590052,+0.0000,,no_claim,
cit-Patents,pr,4MB,POPT,0.390667,-19.9385,,no_claim,
cit-Patents,pr,4MB,SRRIP,0.546644,-4.3408,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
cit-Patents,pr,8MB,GRASP,0.224824,-10.1376,,ok,Faldu et al. HPCA 2020 Fig 10
cit-Patents,pr,8MB,LRU,0.326200,+0.0000,,no_claim,
cit-Patents,pr,8MB,POPT,0.205843,-12.0357,,no_claim,
cit-Patents,pr,8MB,SRRIP,0.274511,-5.1689,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
cit-Patents,sssp,1MB,GRASP,0.833649,-4.3181,,ok,Balaji & Lucia HPCA 2021 Fig 10 (GRASP bar)
cit-Patents,sssp,1MB,LRU,0.876830,+0.0000,,no_claim,
cit-Patents,sssp,1MB,POPT,0.859291,-1.7539,,ok,Balaji & Lucia HPCA 2021 Fig 10
cit-Patents,sssp,1MB,SRRIP,0.870070,-0.6760,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,sssp,4MB,GRASP,0.497809,-7.0319,,no_claim,
cit-Patents,sssp,4MB,LRU,0.568128,+0.0000,,no_claim,
cit-Patents,sssp,4MB,POPT,0.554064,-1.4064,,no_claim,
cit-Patents,sssp,4MB,SRRIP,0.546124,-2.2004,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,sssp,8MB,GRASP,0.228219,-4.2650,,no_claim,
cit-Patents,sssp,8MB,LRU,0.270869,+0.0000,,no_claim,
cit-Patents,sssp,8MB,POPT,0.286036,+1.5167,,no_claim,
cit-Patents,sssp,8MB,SRRIP,0.249261,-2.1608,,ok,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
com-orkut,bc,1MB,GRASP,0.796393,-4.0519,,no_claim,
com-orkut,bc,1MB,LRU,0.836912,+0.0000,,no_claim,
com-orkut,bc,1MB,POPT,0.823194,-1.3718,,no_claim,
com-orkut,bc,1MB,SRRIP,0.820532,-1.6380,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bc,4MB,GRASP,0.525040,-4.8485,,no_claim,
com-orkut,bc,4MB,LRU,0.573525,+0.0000,,no_claim,
com-orkut,bc,4MB,POPT,0.590082,+1.6557,,no_claim,
com-orkut,bc,4MB,SRRIP,0.546997,-2.6528,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bc,8MB,GRASP,0.340600,-3.5445,,no_claim,
com-orkut,bc,8MB,LRU,0.376045,+0.0000,,no_claim,
com-orkut,bc,8MB,POPT,0.430049,+5.4004,,no_claim,
com-orkut,bc,8MB,SRRIP,0.349875,-2.6170,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bfs,1MB,GRASP,0.998120,-0.0772,,no_claim,
com-orkut,bfs,1MB,LRU,0.998892,+0.0000,,no_claim,
com-orkut,bfs,1MB,POPT,0.998389,-0.0503,,no_claim,
com-orkut,bfs,1MB,SRRIP,0.998793,-0.0099,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bfs,4MB,GRASP,0.981189,-1.5295,,no_claim,
com-orkut,bfs,4MB,LRU,0.996484,+0.0000,,no_claim,
com-orkut,bfs,4MB,POPT,0.991077,-0.5407,,no_claim,
com-orkut,bfs,4MB,SRRIP,0.996442,-0.0042,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,bfs,8MB,GRASP,0.980723,-1.5076,,no_claim,
com-orkut,bfs,8MB,LRU,0.995799,+0.0000,,no_claim,
com-orkut,bfs,8MB,POPT,0.976296,-1.9503,,no_claim,
com-orkut,bfs,8MB,SRRIP,0.995759,-0.0040,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
com-orkut,cc,1MB,GRASP,0.670976,-7.0569,,no_claim,
com-orkut,cc,1MB,LRU,0.741545,+0.0000,,no_claim,
com-orkut,cc,1MB,POPT,0.716069,-2.5476,,no_claim,
com-orkut,cc,1MB,SRRIP,0.708078,-3.3467,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
com-orkut,cc,4MB,GRASP,0.420493,-14.7121,,no_claim,
com-orkut,cc,4MB,LRU,0.567614,+0.0000,,no_claim,
com-orkut,cc,4MB,POPT,0.549366,-1.8248,,no_claim,
com-orkut,cc,4MB,SRRIP,0.553200,-1.4414,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
com-orkut,cc,8MB,GRASP,0.411425,-9.4874,,no_claim,
com-orkut,cc,8MB,LRU,0.506299,+0.0000,,no_claim,
com-orkut,cc,8MB,POPT,0.395845,-11.0454,,no_claim,
com-orkut,cc,8MB,SRRIP,0.422010,-8.4289,,ok,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
com-orkut,pr,1MB,GRASP,0.638302,-10.4262,,ok,Faldu et al. HPCA 2020 §6.1 (extrapolated to com-orkut from twitter Fig 10)
com-orkut,pr,1MB,LRU,0.742564,+0.0000,,no_claim,
com-orkut,pr,1MB,POPT,0.673781,-6.8783,,ok,Balaji & Lucia HPCA 2021 §6 (extrapolated to com-orkut from twitter)
com-orkut,pr,1MB,SRRIP,0.706531,-3.6033,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
com-orkut,pr,4MB,GRASP,0.299712,-4.5897,,no_claim,
com-orkut,pr,4MB,LRU,0.345609,+0.0000,,no_claim,
com-orkut,pr,4MB,POPT,0.261308,-8.4301,,no_claim,
com-orkut,pr,4MB,SRRIP,0.303554,-4.2055,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
com-orkut,pr,8MB,GRASP,0.159906,-2.5667,,ok,Faldu et al. HPCA 2020 §6.1 (extrapolated from twitter Fig 10)
com-orkut,pr,8MB,LRU,0.185573,+0.0000,,no_claim,
com-orkut,pr,8MB,POPT,0.132645,-5.2928,,no_claim,
com-orkut,pr,8MB,SRRIP,0.159476,-2.6097,,ok,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
com-orkut,sssp,1MB,GRASP,0.592884,-9.3859,,no_claim,
com-orkut,sssp,1MB,LRU,0.686743,+0.0000,,no_claim,
