graph,app,l3_size,family,regime,policy,miss_rate,oracle,gap_pp,is_winner,n_policies_in_cell
cit-Patents,bc,1MB,citation,large,GRASP,0.929529,0.928955,0.057,0,4
cit-Patents,bc,1MB,citation,large,LRU,0.945117,0.928955,1.616,0,4
cit-Patents,bc,1MB,citation,large,POPT,0.928955,0.928955,0.000,1,4
cit-Patents,bc,1MB,citation,large,SRRIP,0.942569,0.928955,1.361,0,4
cit-Patents,bc,4MB,citation,large,GRASP,0.782743,0.782743,0.000,1,4
cit-Patents,bc,4MB,citation,large,LRU,0.818927,0.782743,3.618,0,4
cit-Patents,bc,4MB,citation,large,POPT,0.794997,0.782743,1.225,0,4
cit-Patents,bc,4MB,citation,large,SRRIP,0.808237,0.782743,2.549,0,4
cit-Patents,bc,8MB,citation,large,GRASP,0.641045,0.641045,0.000,1,4
cit-Patents,bc,8MB,citation,large,LRU,0.686411,0.641045,4.537,0,4
cit-Patents,bc,8MB,citation,large,POPT,0.664142,0.641045,2.310,0,4
cit-Patents,bc,8MB,citation,large,SRRIP,0.666055,0.641045,2.501,0,4
cit-Patents,bfs,1MB,citation,large,GRASP,0.973837,0.972364,0.147,0,4
cit-Patents,bfs,1MB,citation,large,LRU,0.981460,0.972364,0.910,0,4
cit-Patents,bfs,1MB,citation,large,POPT,0.972364,0.972364,0.000,1,4
cit-Patents,bfs,1MB,citation,large,SRRIP,0.979057,0.972364,0.669,0,4
cit-Patents,bfs,4MB,citation,large,GRASP,0.902658,0.902658,0.000,1,4
cit-Patents,bfs,4MB,citation,large,LRU,0.946715,0.902658,4.406,0,4
cit-Patents,bfs,4MB,citation,large,POPT,0.910449,0.902658,0.779,0,4
cit-Patents,bfs,4MB,citation,large,SRRIP,0.941754,0.902658,3.910,0,4
cit-Patents,bfs,8MB,citation,large,GRASP,0.871203,0.840295,3.091,0,4
cit-Patents,bfs,8MB,citation,large,LRU,0.921363,0.840295,8.107,0,4
cit-Patents,bfs,8MB,citation,large,POPT,0.840295,0.840295,0.000,1,4
cit-Patents,bfs,8MB,citation,large,SRRIP,0.918701,0.840295,7.841,0,4
cit-Patents,cc,1MB,citation,large,GRASP,0.559035,0.547963,1.107,0,4
cit-Patents,cc,1MB,citation,large,LRU,0.666820,0.547963,11.886,0,4
cit-Patents,cc,1MB,citation,large,POPT,0.547963,0.547963,0.000,1,4
cit-Patents,cc,1MB,citation,large,SRRIP,0.626239,0.547963,7.828,0,4
cit-Patents,cc,4MB,citation,large,GRASP,0.265725,0.265725,0.000,1,4
cit-Patents,cc,4MB,citation,large,LRU,0.336914,0.265725,7.119,0,4
cit-Patents,cc,4MB,citation,large,POPT,0.270953,0.265725,0.523,0,4
cit-Patents,cc,4MB,citation,large,SRRIP,0.313595,0.265725,4.787,0,4
cit-Patents,cc,8MB,citation,large,GRASP,0.126131,0.126131,0.000,1,4
cit-Patents,cc,8MB,citation,large,LRU,0.197967,0.126131,7.184,0,4
cit-Patents,cc,8MB,citation,large,POPT,0.144625,0.126131,1.849,0,4
cit-Patents,cc,8MB,citation,large,SRRIP,0.175707,0.126131,4.958,0,4
cit-Patents,pr,1MB,citation,large,GRASP,0.818199,0.730118,8.808,0,4
cit-Patents,pr,1MB,citation,large,LRU,0.895106,0.730118,16.499,0,4
cit-Patents,pr,1MB,citation,large,POPT,0.730118,0.730118,0.000,1,4
cit-Patents,pr,1MB,citation,large,SRRIP,0.880294,0.730118,15.018,0,4
cit-Patents,pr,4MB,citation,large,GRASP,0.453217,0.347413,10.580,0,4
cit-Patents,pr,4MB,citation,large,LRU,0.590052,0.347413,24.264,0,4
cit-Patents,pr,4MB,citation,large,POPT,0.347413,0.347413,0.000,1,4
cit-Patents,pr,4MB,citation,large,SRRIP,0.546644,0.347413,19.923,0,4
cit-Patents,pr,8MB,citation,large,GRASP,0.224824,0.178828,4.600,0,4
cit-Patents,pr,8MB,citation,large,LRU,0.326200,0.178828,14.737,0,4
cit-Patents,pr,8MB,citation,large,POPT,0.178828,0.178828,0.000,1,4
cit-Patents,pr,8MB,citation,large,SRRIP,0.274511,0.178828,9.568,0,4
cit-Patents,sssp,1MB,citation,large,GRASP,0.833649,0.833649,0.000,1,4
cit-Patents,sssp,1MB,citation,large,LRU,0.876830,0.833649,4.318,0,4
cit-Patents,sssp,1MB,citation,large,POPT,0.839685,0.833649,0.604,0,4
cit-Patents,sssp,1MB,citation,large,SRRIP,0.870070,0.833649,3.642,0,4
cit-Patents,sssp,4MB,citation,large,GRASP,0.497809,0.497809,0.000,1,4
cit-Patents,sssp,4MB,citation,large,LRU,0.568128,0.497809,7.032,0,4
cit-Patents,sssp,4MB,citation,large,POPT,0.507291,0.497809,0.948,0,4
cit-Patents,sssp,4MB,citation,large,SRRIP,0.546124,0.497809,4.832,0,4
cit-Patents,sssp,8MB,citation,large,GRASP,0.228219,0.226856,0.136,0,4
cit-Patents,sssp,8MB,citation,large,LRU,0.270869,0.226856,4.401,0,4
cit-Patents,sssp,8MB,citation,large,POPT,0.226856,0.226856,0.000,1,4
cit-Patents,sssp,8MB,citation,large,SRRIP,0.249261,0.226856,2.241,0,4
delaunay_n19,pr,4kB,mesh,tiny,GRASP,0.999998,0.999998,0.000,1,4
delaunay_n19,pr,4kB,mesh,tiny,LRU,1.000000,0.999998,0.000,0,4
delaunay_n19,pr,4kB,mesh,tiny,POPT,1.000000,0.999998,0.000,0,4
delaunay_n19,pr,4kB,mesh,tiny,SRRIP,1.000000,0.999998,0.000,0,4
delaunay_n19,pr,16kB,mesh,tiny,GRASP,0.999740,0.996143,0.360,0,4
delaunay_n19,pr,16kB,mesh,tiny,LRU,1.000000,0.996143,0.386,0,4
delaunay_n19,pr,16kB,mesh,tiny,POPT,0.996143,0.996143,0.000,1,4
delaunay_n19,pr,16kB,mesh,tiny,SRRIP,1.000000,0.996143,0.386,0,4
delaunay_n19,pr,64kB,mesh,tiny,GRASP,0.997298,0.974611,2.269,0,4
delaunay_n19,pr,64kB,mesh,tiny,LRU,1.000000,0.974611,2.539,0,4
delaunay_n19,pr,64kB,mesh,tiny,POPT,0.974611,0.974611,0.000,1,4
delaunay_n19,pr,64kB,mesh,tiny,SRRIP,1.000000,0.974611,2.539,0,4
delaunay_n19,pr,256kB,mesh,small,GRASP,0.982951,0.927952,5.500,0,4
delaunay_n19,pr,256kB,mesh,small,LRU,0.999177,0.927952,7.122,0,4
delaunay_n19,pr,256kB,mesh,small,POPT,0.927952,0.927952,0.000,1,4
delaunay_n19,pr,256kB,mesh,small,SRRIP,0.999095,0.927952,7.114,0,4
delaunay_n19,pr,1MB,mesh,large,GRASP,0.851601,0.790367,6.123,0,4
delaunay_n19,pr,1MB,mesh,large,LRU,0.966764,0.790367,17.640,0,4
delaunay_n19,pr,1MB,mesh,large,POPT,0.790367,0.790367,0.000,1,4
delaunay_n19,pr,1MB,mesh,large,SRRIP,0.951847,0.790367,16.148,0,4
roadNet-CA,bc,4kB,road,tiny,GRASP,0.999992,0.999888,0.010,0,4
roadNet-CA,bc,4kB,road,tiny,LRU,1.000000,0.999888,0.011,0,4
roadNet-CA,bc,4kB,road,tiny,POPT,0.999888,0.999888,0.000,1,4
roadNet-CA,bc,4kB,road,tiny,SRRIP,1.000000,0.999888,0.011,0,4
roadNet-CA,bc,16kB,road,tiny,GRASP,0.999890,0.998439,0.145,0,4
roadNet-CA,bc,16kB,road,tiny,LRU,0.999998,0.998439,0.156,0,4
roadNet-CA,bc,16kB,road,tiny,POPT,0.998439,0.998439,0.000,1,4
roadNet-CA,bc,16kB,road,tiny,SRRIP,0.999998,0.998439,0.156,0,4
