app,policy,n,mean_gap_pp,median_gap_pp,p90_gap_pp,max_gap_pp,wins
bc,SRRIP,23,1.6893,1.537,3.704,6.371,7
bc,GRASP,23,2.1238,0.0,1.858,38.128,15
bc,POPT,23,2.4866,1.597,4.668,22.541,5
bc,LRU,23,3.2011,2.097,6.245,8.691,1
bfs,POPT,23,1.6254,0.0,1.098,33.391,12
bfs,SRRIP,23,3.8822,2.363,8.755,17.967,1
bfs,LRU,23,4.0464,2.71,11.246,18.069,1
bfs,GRASP,23,5.107,0.386,17.753,68.404,9
cc,GRASP,20,0.6395,0.0,3.666,9.12,17
cc,POPT,20,3.572,1.669,10.58,11.016,0
cc,SRRIP,20,4.3159,3.54,10.354,11.896,1
cc,LRU,20,6.4835,6.537,16.968,20.943,2
pr,POPT,28,0.0999,0.0,0.421,1.072,20
pr,GRASP,28,2.2513,0.847,6.467,8.246,8
pr,SRRIP,28,4.9336,4.269,12.715,17.434,0
pr,LRU,28,6.7327,5.1565,17.597,21.615,0
sssp,POPT,20,1.7134,0.088,10.094,13.82,8
sssp,SRRIP,20,2.084,1.63,6.208,7.868,2
sssp,LRU,20,2.9028,1.8555,8.673,11.039,3
sssp,GRASP,20,7.1056,0.007,52.137,70.117,7
