graph,app,l3_size,lru_miss_rate,srrip_miss_rate,grasp_miss_rate,popt_miss_rate,srrip_delta_pp,grasp_delta_pp,popt_delta_pp,grasp_verdict,popt_verdict,min_accesses
cit-Patents,bfs,1MB,0.966509,0.962542,0.956526,0.957587,-0.397,-0.998,-0.892,ok,,5161106
cit-Patents,bfs,4MB,0.909819,0.902971,0.869013,0.872810,-0.685,-4.081,-3.701,,,5155615
cit-Patents,bfs,8MB,0.871076,0.867949,0.784831,0.791718,-0.313,-8.624,-7.936,,,5154729
cit-Patents,cc,1MB,0.643092,0.600965,0.526182,0.613440,-4.213,-11.691,-2.965,,,10262410
cit-Patents,cc,4MB,0.316970,0.293984,0.247301,0.283780,-2.299,-6.967,-3.319,,,10316713
cit-Patents,cc,8MB,0.181542,0.160120,0.117092,0.132369,-2.142,-6.445,-4.917,,,10267514
cit-Patents,pr,1MB,0.892299,0.878032,0.785828,0.775308,-1.427,-10.647,-11.699,ok,ok,68958633
cit-Patents,pr,4MB,0.587932,0.546122,0.454240,0.371782,-4.181,-13.369,-21.615,,,68963141
cit-Patents,pr,8MB,0.324767,0.275616,0.214520,0.186176,-4.915,-11.025,-13.859,within_tol,,68955281
cit-Patents,sssp,1MB,0.852928,0.849729,0.818409,0.827043,-0.320,-3.452,-2.589,ok,ok,27458849
cit-Patents,sssp,4MB,0.563099,0.538453,0.476368,0.494406,-2.465,-8.673,-6.869,,,27464659
cit-Patents,sssp,8MB,0.268958,0.243975,0.199914,0.216244,-2.498,-6.904,-5.271,,,27473215
com-orkut,bfs,1MB,1.000000,1.000000,1.000000,1.000000,+0.000,+0.000,+0.000,,,0
com-orkut,bfs,4MB,1.000000,1.000000,1.000000,1.000000,+0.000,+0.000,+0.000,,,0
com-orkut,bfs,8MB,1.000000,1.000000,1.000000,1.000000,+0.000,+0.000,+0.000,,,0
com-orkut,cc,1MB,0.688918,0.651004,0.583690,0.693854,-3.791,-10.523,+0.494,,,2834817
com-orkut,cc,4MB,0.503285,0.488797,0.369839,0.470386,-1.449,-13.345,-3.290,,,2833381
com-orkut,cc,8MB,0.430593,0.321163,0.221160,0.283031,-10.943,-20.943,-14.756,,,2835923
com-orkut,pr,1MB,0.710401,0.668635,0.686721,0.618423,-4.177,-2.368,-9.198,ok,ok,362342881
com-orkut,pr,4MB,0.310834,0.274322,0.267884,0.215751,-3.651,-4.295,-9.508,,,362301748
com-orkut,pr,8MB,0.164581,0.142183,0.129581,0.109374,-2.240,-3.500,-5.521,ok,,362421671
com-orkut,sssp,1MB,1.000000,1.000000,1.000000,1.000000,+0.000,+0.000,+0.000,,,1
com-orkut,sssp,4MB,1.000000,1.000000,1.000000,1.000000,+0.000,+0.000,+0.000,,,1
