avg_l3_miss_delta,avg_l3_miss_delta_pct,avg_tick_delta,avg_tick_delta_pct,benchmark,candidate_policy,candidate_short,check,final_job_id,l3_size,matched_sections,max_abs_l3_miss_delta,max_abs_l3_miss_delta_pct,max_abs_tick_delta,max_abs_tick_delta_pct,passes_tolerance,pipeline_run_name,prefetcher,reference_policy,reference_short,sections,simulator,threads,tolerance_pct
-15800727.0,-12.924344263463691,,,pr,ECG_DBG_ONLY,ECG-D,GRASP parity,10_cache_sim_large_replacement_soc-pokec_pr,4kB,1,15800727.0,12.924344263463691,,0.0,no,20260528_1408_final_cache_sim,none,GRASP,GRASP,0,cache_sim,,3.0
3214372.0,2.930590122457686,,,pr,ECG_POPT_PRIMARY,ECG-P,P-OPT parity,10_cache_sim_large_replacement_soc-pokec_pr,4kB,1,3214372.0,2.930590122457686,,0.0,yes,20260528_1408_final_cache_sim,none,POPT,P-OPT,0,cache_sim,,3.0
0.0,,,,bfs,ECG_DBG_ONLY,ECG-D,GRASP parity,10_cache_sim_large_replacement_soc-pokec_bfs,4kB,1,0.0,0.0,,0.0,yes,20260528_1408_final_cache_sim,none,GRASP,GRASP,0,cache_sim,,3.0
0.0,,,,bfs,ECG_POPT_PRIMARY,ECG-P,P-OPT parity,10_cache_sim_large_replacement_soc-pokec_bfs,4kB,1,0.0,0.0,,0.0,yes,20260528_1408_final_cache_sim,none,POPT,P-OPT,0,cache_sim,,3.0
0.0,0.0,,,sssp,ECG_DBG_ONLY,ECG-D,GRASP parity,10_cache_sim_large_replacement_soc-pokec_sssp,4kB,1,0.0,0.0,,0.0,yes,20260528_1408_final_cache_sim,none,GRASP,GRASP,0,cache_sim,,3.0
0.0,0.0,,,sssp,ECG_POPT_PRIMARY,ECG-P,P-OPT parity,10_cache_sim_large_replacement_soc-pokec_sssp,4kB,1,0.0,0.0,,0.0,yes,20260528_1408_final_cache_sim,none,POPT,P-OPT,0,cache_sim,,3.0
-1261075.0,-0.7033486165077079,,,pr,ECG_DBG_ONLY,ECG-D,GRASP parity,10_cache_sim_large_replacement_soc-LiveJournal1_pr,4kB,1,1261075.0,0.7033486165077079,,0.0,yes,20260528_1408_final_cache_sim,none,GRASP,GRASP,0,cache_sim,,3.0
-276727.0,-0.15860930259347447,,,pr,ECG_POPT_PRIMARY,ECG-P,P-OPT parity,10_cache_sim_large_replacement_soc-LiveJournal1_pr,4kB,1,276727.0,0.15860930259347447,,0.0,yes,20260528_1408_final_cache_sim,none,POPT,P-OPT,0,cache_sim,,3.0
157773.0,2.108738367041275,,,bfs,ECG_DBG_ONLY,ECG-D,GRASP parity,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,4kB,1,157773.0,2.108738367041275,,0.0,yes,20260528_1408_final_cache_sim,none,GRASP,GRASP,0,cache_sim,,3.0
46277.0,0.6557986176603505,,,bfs,ECG_POPT_PRIMARY,ECG-P,P-OPT parity,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,4kB,1,46277.0,0.6557986176603505,,0.0,yes,20260528_1408_final_cache_sim,none,POPT,P-OPT,0,cache_sim,,3.0
