benchmark,charged_policy,final_job_id,l3_miss_delta,l3_miss_delta_pct,l3_size,oracle_policy,pipeline_run_name,popt_effective_l3_size,popt_effective_l3_ways,popt_matrix_stream_cache_lines,popt_reserved_bytes,popt_reserved_ways,prefetcher,section,simulator,threads
pr,POPT_CHARGED,10_cache_sim_large_replacement_soc-pokec_pr,9576199.0,8.730761156483807,4kB,POPT,20260528_1408_final_cache_sim,256B,1,408204,3840,15,none,0,cache_sim,
pr,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_soc-pokec_pr,-965823.0,-0.8859002183841546,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,408204,3840,15,none,0,cache_sim,
bfs,POPT_CHARGED,10_cache_sim_large_replacement_soc-pokec_bfs,,,4kB,POPT,20260528_1408_final_cache_sim,256B,1,408204,3840,15,none,0,cache_sim,
bfs,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_soc-pokec_bfs,,,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,408204,3840,15,none,0,cache_sim,
sssp,POPT_CHARGED,10_cache_sim_large_replacement_soc-pokec_sssp,0.0,0.0,4kB,POPT,20260528_1408_final_cache_sim,256B,1,408204,3840,15,none,0,cache_sim,
sssp,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_soc-pokec_sssp,0.0,0.0,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,408204,3840,15,none,0,cache_sim,
pr,POPT_CHARGED,10_cache_sim_large_replacement_soc-LiveJournal1_pr,5372724.0,3.0794393270885116,4kB,POPT,20260528_1408_final_cache_sim,256B,1,1211896,3840,15,none,0,cache_sim,
pr,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_soc-LiveJournal1_pr,2543881.0,1.4392187672768078,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,1211896,3840,15,none,0,cache_sim,
bfs,POPT_CHARGED,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,471433.0,6.6807509069185995,4kB,POPT,20260528_1408_final_cache_sim,256B,1,1211896,3840,15,none,0,cache_sim,
bfs,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_soc-LiveJournal1_bfs,184756.0,2.4815098264597855,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,1211896,3840,15,none,0,cache_sim,
sssp,POPT_CHARGED,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,3100455.0,4.62439259686718,4kB,POPT,20260528_1408_final_cache_sim,256B,1,1211896,3840,15,none,0,cache_sim,
sssp,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_soc-LiveJournal1_sssp,1432907.0,2.081613886872472,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,1211896,3840,15,none,0,cache_sim,
pr,POPT_CHARGED,10_cache_sim_large_replacement_com-orkut_pr,-4399082.0,-0.8614548347786275,4kB,POPT,20260528_1408_final_cache_sim,256B,1,768160,3840,15,none,0,cache_sim,
pr,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_com-orkut_pr,8173352.0,1.6608458453854873,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,768160,3840,15,none,0,cache_sim,
bfs,POPT_CHARGED,10_cache_sim_large_replacement_com-orkut_bfs,,,4kB,POPT,20260528_1408_final_cache_sim,256B,1,768160,3840,15,none,0,cache_sim,
bfs,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_com-orkut_bfs,,,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,768160,3840,15,none,0,cache_sim,
sssp,POPT_CHARGED,10_cache_sim_large_replacement_com-orkut_sssp,0.0,0.0,4kB,POPT,20260528_1408_final_cache_sim,256B,1,768160,3840,15,none,0,cache_sim,
sssp,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_com-orkut_sssp,0.0,0.0,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,768160,3840,15,none,0,cache_sim,
pr,POPT_CHARGED,10_cache_sim_large_replacement_cit-Patents_pr,-2227207.0,-2.43818783047265,4kB,POPT,20260528_1408_final_cache_sim,256B,1,943692,3840,15,none,0,cache_sim,
pr,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_cit-Patents_pr,697345.0,0.7892691851425098,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,943692,3840,15,none,0,cache_sim,
bfs,POPT_CHARGED,10_cache_sim_large_replacement_cit-Patents_bfs,407601.0,6.462485805872857,4kB,POPT,20260528_1408_final_cache_sim,256B,1,943692,3840,15,none,0,cache_sim,
bfs,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_cit-Patents_bfs,-119438.0,-1.7680620241333256,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,943692,3840,15,none,0,cache_sim,
sssp,POPT_CHARGED,10_cache_sim_large_replacement_cit-Patents_sssp,1205362.0,3.5362355729347232,4kB,POPT,20260528_1408_final_cache_sim,256B,1,943692,3840,15,none,0,cache_sim,
sssp,ECG_DBG_PRIMARY_CHARGED,10_cache_sim_large_replacement_cit-Patents_sssp,261454.0,0.7462764102738583,4kB,ECG_DBG_PRIMARY,20260528_1408_final_cache_sim,256B,1,943692,3840,15,none,0,cache_sim,
