benchmark,droplet_indirect_degree,droplet_prefetch_degree,droplet_stride_table_size,ecg_build_s,ecg_mode,ecg_pfx_candidates,ecg_pfx_dedup_skips,ecg_pfx_delivery,ecg_pfx_encoded,ecg_pfx_hint_filter,ecg_pfx_no_candidate,ecg_pfx_table_miss,ecg_prefetch_lookahead,ecg_prefetch_mode,ecg_prefetch_window,ecg_runtime_duplicate,ecg_runtime_issued,ecg_runtime_no_target,ecg_vertices,final_graph,final_graph_path,final_job_id,final_kind,final_output_csv,final_output_detail,final_output_status,final_stage,json_path,l1_hit_rate,l1_hits,l1_l2_policy,l1_miss_rate,l1_misses,l1_policy,l1d_size,l2_hit_rate,l2_hits,l2_miss_rate,l2_misses,l2_policy,l2_size,l3_hit_rate,l3_hits,l3_miss_rate,l3_misses,l3_policy,l3_size,l3_ways,log_path,memory_accesses,options,pipeline_run_dir,pipeline_run_name,pipeline_source_csv,policy,policy_label,popt_charged_total_memory_traffic,popt_effective_l3_size,popt_effective_l3_ways,popt_estimated_vertices,popt_matrix_active_columns,popt_matrix_column_bytes,popt_matrix_stream_bytes,popt_matrix_stream_cache_lines,popt_overhead_charged,popt_requested_l3_size,popt_reserved_bytes,popt_reserved_ways,prefetch_cache_hits,prefetch_evicted_before_use,prefetch_fills,prefetch_pending,prefetch_requests,prefetch_useful,prefetcher,prefetcher_level,section,simulator,status,timing_caveat,timing_model,timing_valid_for_speedup,total_accesses,total_memory_traffic
pr,16,1,64,0.060974,,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_LRU_L34kB.json,0.328972,62990975,LRU,0.671028,128487169,LRU,1kB,0.039814,5115623,0.960186,123371546,LRU,2kB,0.052937,6530912,0.947063,116840634,LRU,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_LRU_L34kB.log,116840634,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,LRU,LRU,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,116840634
pr,16,1,64,0.029266,,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_SRRIP_L34kB.json,0.324502,62135076,LRU,0.6754979999999999,129343068,LRU,1kB,0.041454,5361758,0.958546,123981310,LRU,2kB,0.078252,9701771,0.921748,114279539,SRRIP,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_SRRIP_L34kB.log,114279539,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,SRRIP,SRRIP,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,114279539
pr,16,1,64,0.040836,,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_GRASP_L34kB.json,0.328891,62975440,LRU,0.671109,128502704,LRU,1kB,0.039813,5116014,0.960187,123386690,LRU,2kB,0.009168,1131149,0.990832,122255541,GRASP,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_GRASP_L34kB.log,122255541,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,GRASP,GRASP,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,122255541
pr,16,1,64,0.083211,,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_POPT_CHARGED_L34kB.json,0.352018,67403740,LRU,0.6479820000000001,124074404,LRU,1kB,0.038772,4810563,0.961228,119263841,LRU,2kB,3.5e-05,4204,0.999965,119259637,POPT,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_POPT_CHARGED_L34kB.log,119259637,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,POPT,POPT_CHARGED,119667841,256B,1,1632804,2,102051,26125056,408204,1,4kB,3840,15,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,119259637
pr,16,1,64,0.065317,,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_POPT_L34kB.json,0.401503,76879013,LRU,0.5984970000000001,114599131,LRU,1kB,0.031425,3601247,0.968575,110997884,LRU,2kB,0.011842,1314446,0.988158,109683438,POPT,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_POPT_L34kB.log,109683438,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,POPT,POPT,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,109683438
pr,16,1,64,0.092988,DBG_ONLY,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_ECG_DBG_ONLY_L34kB.json,0.419077,80244165,LRU,0.5809230000000001,111233979,LRU,1kB,0.033036,3674685,0.966964,107559294,LRU,2kB,0.010269,1104480,0.989731,106454814,ECG,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_ECG_DBG_ONLY_L34kB.log,106454814,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,ECG,ECG_DBG_ONLY,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,106454814
pr,16,1,64,0.096293,DBG_PRIMARY,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_ECG_DBG_PRIMARY_CHARGED_L34kB.json,0.415787,79614056,LRU,0.584213,111864088,LRU,1kB,0.034022,3805800,0.965978,108058288,LRU,2kB,2.3e-05,2465,0.999977,108055823,ECG,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_ECG_DBG_PRIMARY_CHARGED_L34kB.log,108055823,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,ECG,ECG_DBG_PRIMARY_CHARGED,108464027,256B,1,1632804,2,102051,26125056,408204,1,4kB,3840,15,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,108055823
pr,16,1,64,0.09863,DBG_PRIMARY,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_ECG_DBG_PRIMARY_L34kB.json,0.403221,77207965,LRU,0.596779,114270179,LRU,1kB,0.036182,4134549,0.963818,110135630,LRU,2kB,0.010115,1113984,0.989885,109021646,ECG,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_ECG_DBG_PRIMARY_L34kB.log,109021646,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,ECG,ECG_DBG_PRIMARY,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,109021646
pr,16,1,64,0.062886,POPT_PRIMARY,0,0,explicit-hint,0,16,0,0,,,,0,0,89207856,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_pr,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/cache_sim/cache_sim_pr_ECG_POPT_PRIMARY_L34kB.json,0.382307,73203460,LRU,0.617693,118274684,LRU,1kB,0.034897,4127451,0.965103,114147233,LRU,2kB,0.010946,1249423,0.989054,112897810,ECG,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/pr/logs/cache_sim_pr_ECG_POPT_PRIMARY_L34kB.log,112897810,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -i 2,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,ECG,ECG_POPT_PRIMARY,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,191478144,112897810
bfs,16,1,64,0.026803,,0,0,explicit-hint,0,16,0,0,,,,0,0,0,1632804,soc-pokec,/home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg,10_cache_sim_large_replacement_soc-pokec_bfs,roi_matrix,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/bfs/roi_matrix.csv,9 ok rows,ok,10_cache_sim_large_replacement,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/bfs/cache_sim/cache_sim_bfs_LRU_L34kB.json,0.0,0,LRU,1.0,0,LRU,1kB,0.0,0,1.0,0,LRU,2kB,0.0,0,1.0,0,LRU,4kB,16,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/matrices/10_cache_sim_large_replacement/soc-pokec/bfs/logs/cache_sim_bfs_LRU_L34kB.log,0,-f /home/ab/Documents/00_github_repos/02_GraphBrew/results/graphs/soc-pokec/soc-pokec.sg -s -o 5 -n 1 -r 0,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim,20260528_1408_final_cache_sim,/home/ab/Documents/00_github_repos/02_GraphBrew/results/ecg_experiments/final_paper_runs/20260528_1408_final_cache_sim/combined_roi_matrix.csv,LRU,LRU,,4kB,16,,0,0,0,0,0,4kB,0,0,0,0,0,0,0,0,none,l2,0,cache_sim,ok,,simulated_target_time,1,0,0
