avg_l3_miss_rate,avg_l3_misses,benchmark,l3_size,policy_label,policy_short,prefetcher,rows,simulator,threads
0.9472985,218095373.25,pr,4kB,LRU,LRU,none,4,cache_sim,
0.9631689999999999,3320832.0,bfs,4kB,LRU,LRU,none,4,cache_sim,
0.9897005,25828707.25,sssp,4kB,LRU,LRU,none,4,cache_sim,
0.93685825,214281597.0,pr,4kB,SRRIP,SRRIP,none,4,cache_sim,
0.96423525,3281406.75,bfs,4kB,SRRIP,SRRIP,none,4,cache_sim,
0.9884185,25770919.5,sssp,4kB,SRRIP,SRRIP,none,4,cache_sim,
0.99156025,222664323.25,pr,4kB,GRASP,GRASP,none,4,cache_sim,
0.9982125,3553330.75,bfs,4kB,GRASP,GRASP,none,4,cache_sim,
0.9957735,26213931.25,sssp,4kB,GRASP,GRASP,none,4,cache_sim,
0.999976,223620260.25,pr,4kB,POPT_CHARGED,P-OPT+C,none,4,cache_sim,
0.999997,3560701.75,bfs,4kB,POPT_CHARGED,P-OPT+C,none,4,cache_sim,
0.99996875,26359377.5,sssp,4kB,POPT_CHARGED,P-OPT+C,none,4,cache_sim,
0.984895,221539601.75,pr,4kB,POPT,P-OPT,none,4,cache_sim,
0.97951525,3340943.25,bfs,4kB,POPT,P-OPT,none,4,cache_sim,
0.98651925,25282923.25,sssp,4kB,POPT,P-OPT,none,4,cache_sim,
0.99113775,217773565.5,pr,4kB,ECG_DBG_ONLY,ECG-D,none,4,cache_sim,
0.99849425,3619073.75,bfs,4kB,ECG_DBG_ONLY,ECG-D,none,4,cache_sim,
0.995599,26175813.0,sssp,4kB,ECG_DBG_ONLY,ECG-D,none,4,cache_sim,
0.99998125,219174448.75,pr,4kB,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,none,4,cache_sim,
0.9999972500000001,3566482.5,bfs,4kB,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,none,4,cache_sim,
0.9999765,26391296.0,sssp,4kB,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,none,4,cache_sim,
0.9905955,216562260.0,pr,4kB,ECG_DBG_PRIMARY,ECG-H,none,4,cache_sim,
0.99812025,3550153.0,bfs,4kB,ECG_DBG_PRIMARY,ECG-H,none,4,cache_sim,
0.99404125,25967705.75,sssp,4kB,ECG_DBG_PRIMARY,ECG-H,none,4,cache_sim,
0.9851602500000001,221956615.0,pr,4kB,ECG_POPT_PRIMARY,ECG-P,none,4,cache_sim,
0.9802442499999999,3357747.25,bfs,4kB,ECG_POPT_PRIMARY,ECG-P,none,4,cache_sim,
0.9869755,25438601.25,sssp,4kB,ECG_POPT_PRIMARY,ECG-P,none,4,cache_sim,
