baseline_policy,benchmark,effective_l3_misses,final_job_id,l3_miss_ratio_vs_lru,l3_miss_reduction_vs_lru_pct,l3_misses,l3_size,pipeline_run_name,policy_label,policy_short,popt_charged_l3_misses_plus_matrix_stream,popt_overhead_charged,prefetcher,section,sim_ticks,simulator,threads,timing_caveat,timing_model,timing_valid_for_speedup
LRU,pr,116840634.0,10_cache_sim_large_replacement_soc-pokec_pr,1.0,0.0,116840634,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,114279539.0,10_cache_sim_large_replacement_soc-pokec_pr,0.9780804424597696,2.1919557540230397,114279539,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,122255541.0,10_cache_sim_large_replacement_soc-pokec_pr,1.0463443822120992,-4.634438221209926,122255541,4kB,20260528_1408_final_cache_sim,GRASP,GRASP,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,119259637.0,10_cache_sim_large_replacement_soc-pokec_pr,1.020703439524301,-2.070343952430111,119259637,4kB,20260528_1408_final_cache_sim,POPT_CHARGED,P-OPT+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,109683438.0,10_cache_sim_large_replacement_soc-pokec_pr,0.9387439475893292,6.125605241067076,109683438,4kB,20260528_1408_final_cache_sim,POPT,P-OPT,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,106454814.0,10_cache_sim_large_replacement_soc-pokec_pr,0.9111112320735952,8.888876792640477,106454814,4kB,20260528_1408_final_cache_sim,ECG_DBG_ONLY,ECG-D,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,108055823.0,10_cache_sim_large_replacement_soc-pokec_pr,0.924813733893296,7.518626610670394,108055823,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,,1,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,109021646.0,10_cache_sim_large_replacement_soc-pokec_pr,0.9330798906825514,6.692010931744859,109021646,4kB,20260528_1408_final_cache_sim,ECG_DBG_PRIMARY,ECG-H,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,pr,112897810.0,10_cache_sim_large_replacement_soc-pokec_pr,0.9662546849925515,3.374531500744852,112897810,4kB,20260528_1408_final_cache_sim,ECG_POPT_PRIMARY,ECG-P,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_soc-pokec_bfs,,,0,4kB,20260528_1408_final_cache_sim,LRU,LRU,,0,none,0,,cache_sim,,,simulated_target_time,1
LRU,bfs,0.0,10_cache_sim_large_replacement_soc-pokec_bfs,,,0,4kB,20260528_1408_final_cache_sim,SRRIP,SRRIP,,0,none,0,,cache_sim,,,simulated_target_time,1
