avg_l3_miss_ratio_vs_lru,avg_l3_miss_reduction_vs_lru_pct,benchmark,l3_size,policy_label,policy_short,prefetcher,rows,simulator,threads
1.0,0.0,pr,4kB,LRU,LRU,none,4,cache_sim,
1.0,0.0,bfs,4kB,LRU,LRU,none,4,cache_sim,
1.0,0.0,sssp,4kB,LRU,LRU,none,4,cache_sim,
0.9816179786894115,1.8382021310588528,pr,4kB,SRRIP,SRRIP,none,4,cache_sim,
0.9881213717767883,1.1878628223211696,bfs,4kB,SRRIP,SRRIP,none,4,cache_sim,
0.9991626741437558,0.08373258562441872,sssp,4kB,SRRIP,SRRIP,none,4,cache_sim,
1.032075461873109,-3.207546187310887,pr,4kB,GRASP,GRASP,none,4,cache_sim,
1.0698109522466661,-6.981095224666609,bfs,4kB,GRASP,GRASP,none,4,cache_sim,
1.008148247109692,-0.8148247109691981,sssp,4kB,GRASP,GRASP,none,4,cache_sim,
1.0307590764962262,-3.0759076496226276,pr,4kB,POPT_CHARGED,P-OPT+C,none,4,cache_sim,
1.0718037830248848,-7.180378302488471,bfs,4kB,POPT_CHARGED,P-OPT+C,none,4,cache_sim,
1.0105526571689096,-1.0552657168909612,sssp,4kB,POPT_CHARGED,P-OPT+C,none,4,cache_sim,
1.0116137695636487,-1.1613769563648613,pr,4kB,POPT,P-OPT,none,4,cache_sim,
1.005704869217398,-0.5704869217398024,bfs,4kB,POPT,P-OPT,none,4,cache_sim,
0.9905548359937112,0.9445164006288833,sssp,4kB,POPT,P-OPT,none,4,cache_sim,
0.9963007910479174,0.3699208952082586,pr,4kB,ECG_DBG_ONLY,ECG-D,none,4,cache_sim,
1.0894614158379308,-8.946141583793068,bfs,4kB,ECG_DBG_ONLY,ECG-D,none,4,cache_sim,
1.0075321786563207,-0.7532178656320766,sssp,4kB,ECG_DBG_ONLY,ECG-D,none,4,cache_sim,
1.0027955394553103,-0.2795539455310404,pr,4kB,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,none,4,cache_sim,
1.0728800669255079,-7.2880066925507805,bfs,4kB,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,none,4,cache_sim,
1.011032932459746,-1.1032932459746174,sssp,4kB,ECG_DBG_PRIMARY_CHARGED,ECG-H+C,none,4,cache_sim,
0.9950651764360936,0.4934823563906433,pr,4kB,ECG_DBG_PRIMARY,ECG-H,none,4,cache_sim,
1.0690749581022299,-6.907495810222974,bfs,4kB,ECG_DBG_PRIMARY,ECG-H,none,4,cache_sim,
1.0039325723231574,-0.3932572323157326,sssp,4kB,ECG_DBG_PRIMARY,ECG-H,none,4,cache_sim,
1.0171319005622796,-1.7131900562279645,pr,4kB,ECG_POPT_PRIMARY,ECG-P,none,4,cache_sim,
1.0106835836735297,-1.0683583673529713,bfs,4kB,ECG_POPT_PRIMARY,ECG-P,none,4,cache_sim,
0.9935009919620726,0.6499008037927335,sssp,4kB,ECG_POPT_PRIMARY,ECG-P,none,4,cache_sim,
