graph,app,GRASP,ECG_DBG,delta_pp
cit-Patents,bc,0.898508,0.898597,0.009
cit-Patents,bfs,0.958999,0.959564,0.056
cit-Patents,pr,0.785689,0.785651,-0.004
cit-Patents,sssp,0.817662,0.8179339999999999,0.027
com-orkut,pr,0.6848339999999999,0.684856,0.002
email-Eu-core,pr,1.0,1.0,0.0
soc-LiveJournal1,bc,0.79494,0.794763,-0.018
soc-LiveJournal1,bfs,0.7402230000000001,0.7396780000000001,-0.055
soc-LiveJournal1,pr,0.683942,0.683937,-0.001
soc-LiveJournal1,sssp,0.658575,0.657324,-0.125
soc-pokec,bc,0.7648159999999999,0.764787,-0.003
soc-pokec,pr,0.543327,0.543327,0.0
soc-pokec,sssp,0.5277419999999999,0.528221,0.048
web-Google,bc,0.707101,0.709249,0.215
web-Google,bfs,0.935657,0.9354439999999999,-0.021
web-Google,pr,0.453071,0.453159,0.009
