graph,app,LRU,SRRIP,GRASP,POPT,ECG_DBG_PRIMARY,ECG_DBG_ONLY,ECG_DBG_ONLY + ECG_PFX,ECG_DBG_ONLY + DROPLET,LRU_demand,SRRIP_demand,GRASP_demand,POPT_demand,ECG_DBG_PRIMARY_demand,ECG_DBG_ONLY_demand,ECG_DBG_ONLY + ECG_PFX_demand,ECG_DBG_ONLY + DROPLET_demand,delta_vs_LRU_pp,delta_vs_GRASP_pp,delta_vs_POPT_pp,delta_vs_DROPLET_COMBINED_pp,demand_delta_vs_LRU_pp,demand_delta_vs_GRASP_pp,demand_delta_vs_POPT_pp,demand_delta_vs_DROPLET_COMBINED_pp,pfx_marginal_demand_pp,droplet_marginal_demand_pp,pfx_fills,pfx_useful,pfx_requests,droplet_fills,droplet_useful,droplet_requests
cit-Patents,bc,0.8843,0.8799,0.8985,0.8823,0.895,0.8986,0.8984,0.899,0.6922,0.6886,0.7031,0.689,0.7006,0.7034,0.7032,0.7023,1.41,-0.01,1.61,-0.06,1.1,0.01,1.42,0.09,-0.02,-0.11,0,0,0,0,0,0
cit-Patents,bfs,0.9702,0.9669,0.959,0.9602,0.9545,0.9596,0.9597,0.9595,0.1025,0.1021,0.1013,0.1014,0.1008,0.1013,0.0981,0.0922,-1.05,0.07,-0.05,0.02,-0.43,-0.32,-0.33,0.59,-0.31,-0.91,173356,173355,224884,497859,497766,807800
cit-Patents,pr,0.8937,0.879,0.7857,0.7744,0.787,0.7857,0.7855,0.7855,0.379,0.3728,0.3333,0.3286,0.3336,0.333,0.237,0.0566,-10.82,-0.01,1.11,0.01,-14.2,-9.63,-9.16,18.04,-9.6,-27.64,15564263,15559302,17605247,45037580,44913068,58526023
cit-Patents,sssp,0.8483,0.8444,0.8177,0.8216,0.8166,0.8179,0.8177,0.8175,0.5755,0.5729,0.555,0.5527,0.5541,0.5551,0.3923,0.0995,-3.06,0.0,-0.39,0.02,-18.33,-16.28,-16.05,29.28,-16.28,-45.56,6605749,6605649,8148536,18467025,18460008,27803278
com-orkut,pr,0.705,0.6626,0.6848,0.6125,0.6529,0.6849,0.6848,0.6847,0.267,0.2509,0.2593,0.2313,0.2472,0.2593,0.195,0.0325,-2.02,-0.01,7.23,0.0,-7.2,-6.44,-3.63,16.25,-6.44,-22.68,61977867,61973677,127471222,218411254,218403918,462261926
email-Eu-core,pr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,48509,0,0,62197
soc-LiveJournal1,bc,0.839,0.8177,0.7949,0.8129,0.7946,0.7948,0.7948,0.795,0.536,0.5231,0.5081,0.5061,0.5068,0.5081,0.5085,0.5089,-4.42,-0.01,-1.8,-0.02,-2.75,0.04,0.25,-0.03,0.04,0.08,0,0,0,0,0,0
soc-LiveJournal1,bfs,0.8182,0.7836,0.7402,0.7525,0.7318,0.7397,0.7412,0.7407,0.1434,0.1373,0.1298,0.132,0.1282,0.1299,0.1132,0.0787,-7.7,0.1,-1.13,0.05,-3.02,-1.66,-1.88,3.46,-1.66,-5.12,672287,672281,1683527,2078956,2078914,5759963
soc-LiveJournal1,pr,0.7318,0.6986,0.6839,0.6225,0.6827,0.6839,0.6839,0.6839,0.2045,0.1953,0.1911,0.1739,0.1908,0.1911,0.1364,0.0356,-4.79,-0.0,6.14,0.01,-6.81,-5.47,-3.75,10.09,-5.47,-15.55,20877192,20876962,51349413,59361432,59360496,159066424
soc-LiveJournal1,sssp,0.7063,0.6814,0.6586,0.6582,0.6563,0.6573,0.658,0.6582,0.3612,0.3485,0.3371,0.3351,0.3364,0.337,0.2279,0.0369,-4.83,-0.06,-0.02,-0.02,-13.33,-10.92,-10.72,19.1,-10.92,-30.02,10401629,10401357,25431799,28627590,28626910,78908163
soc-pokec,bc,0.8522,0.8288,0.7648,0.7945,0.7691,0.7648,0.7648,0.7645,0.6974,0.6783,0.626,0.6476,0.6291,0.6259,0.6259,0.6255,-8.74,-0.0,-2.97,0.03,-7.15,-0.01,-2.17,0.03,-0.0,-0.04,0,0,0,0,0,0
soc-pokec,pr,0.6796,0.6343,0.5433,0.5467,0.5414,0.5433,0.5432,0.5431,0.2716,0.2535,0.2172,0.2185,0.2164,0.2172,0.1498,0.0335,-13.63,-0.01,-0.34,0.02,-12.18,-6.74,-6.87,11.63,-6.74,-18.37,12900265,12898548,24009855,35176574,35171688,85822033
soc-pokec,sssp,0.6366,0.6026,0.5277,0.5639,0.5296,0.5282,0.5277,0.5272,0.4664,0.4392,0.3857,0.4103,0.3857,0.3856,0.2526,0.0264,-10.89,-0.0,-3.62,0.05,-21.38,-13.3,-15.77,22.62,-13.29,-35.91,6381922,6381722,11931756,17224092,17223613,42715169
