graph,graph_family,app,l3_size,l3_regime,winner_policy,winner_miss_rate,runner_up_policy,runner_up_miss_rate,margin_pp,n_policies
cit-Patents,citation,bc,1MB,large,SRRIP,0.892680,POPT,0.897556,0.488,4
cit-Patents,citation,bc,4MB,large,GRASP,0.720874,SRRIP,0.729365,0.849,4
cit-Patents,citation,bc,8MB,large,GRASP,0.563945,POPT,0.589237,2.529,4
cit-Patents,citation,bfs,1MB,large,GRASP,0.956526,POPT,0.957587,0.106,4
cit-Patents,citation,bfs,4MB,large,GRASP,0.869013,POPT,0.872810,0.380,4
cit-Patents,citation,bfs,8MB,large,GRASP,0.784831,POPT,0.791718,0.689,4
cit-Patents,citation,cc,1MB,large,GRASP,0.526182,SRRIP,0.600965,7.478,4
cit-Patents,citation,cc,4MB,large,GRASP,0.247301,POPT,0.283780,3.648,4
cit-Patents,citation,cc,8MB,large,GRASP,0.117092,POPT,0.132369,1.528,4
cit-Patents,citation,pr,1MB,large,POPT,0.775308,GRASP,0.785828,1.052,4
cit-Patents,citation,pr,4MB,large,POPT,0.371782,GRASP,0.454240,8.246,4
cit-Patents,citation,pr,8MB,large,POPT,0.186176,GRASP,0.214520,2.834,4
cit-Patents,citation,sssp,1MB,large,GRASP,0.818409,POPT,0.827043,0.863,4
cit-Patents,citation,sssp,4MB,large,GRASP,0.476368,POPT,0.494406,1.804,4
cit-Patents,citation,sssp,8MB,large,GRASP,0.199914,POPT,0.216244,1.633,4
com-orkut,social,bc,1MB,large,GRASP,0.799916,POPT,0.824663,2.475,4
com-orkut,social,bc,4MB,large,GRASP,0.524215,SRRIP,0.550247,2.603,4
com-orkut,social,bc,8MB,large,GRASP,0.335902,SRRIP,0.353107,1.721,4
com-orkut,social,bfs,1MB,large,GRASP,0.994940,LRU,0.997280,0.234,4
com-orkut,social,bfs,4MB,large,POPT,0.974505,GRASP,0.978458,0.395,4
com-orkut,social,bfs,8MB,large,POPT,0.954790,GRASP,0.962075,0.728,4
com-orkut,social,cc,1MB,large,GRASP,0.583690,SRRIP,0.651004,6.731,4
com-orkut,social,cc,4MB,large,GRASP,0.369839,POPT,0.470386,10.055,4
com-orkut,social,cc,8MB,large,GRASP,0.221160,POPT,0.283031,6.187,4
com-orkut,social,pr,1MB,large,POPT,0.618423,SRRIP,0.668635,5.021,4
com-orkut,social,pr,4MB,large,POPT,0.215751,GRASP,0.267884,5.213,4
com-orkut,social,pr,8MB,large,POPT,0.109374,GRASP,0.129581,2.021,4
com-orkut,social,sssp,1MB,large,POPT,0.596793,SRRIP,0.620433,2.364,4
com-orkut,social,sssp,4MB,large,POPT,0.147270,SRRIP,0.154127,0.686,4
com-orkut,social,sssp,8MB,large,SRRIP,0.022316,GRASP,0.022450,0.013,4
delaunay_n19,mesh,pr,4kB,tiny,GRASP,0.998699,POPT,0.999488,0.079,4
delaunay_n19,mesh,pr,16kB,tiny,GRASP,0.995556,POPT,0.998875,0.332,4
delaunay_n19,mesh,pr,64kB,small,POPT,0.983161,GRASP,0.985500,0.234,4
delaunay_n19,mesh,pr,256kB,small,POPT,0.941833,GRASP,0.947987,0.615,4
delaunay_n19,mesh,pr,1MB,large,POPT,0.777958,GRASP,0.816632,3.867,4
email-Eu-core,social,bc,1MB,large,GRASP,0.000122,LRU,0.000122,0.000,4
email-Eu-core,social,bc,4MB,large,GRASP,0.000121,SRRIP,0.000121,0.000,4
email-Eu-core,social,bc,8MB,large,POPT,0.000121,SRRIP,0.000121,0.000,4
email-Eu-core,social,bfs,1MB,large,SRRIP,0.045832,LRU,0.045849,0.002,4
email-Eu-core,social,bfs,4MB,large,POPT,0.045849,GRASP,0.045851,0.000,4
email-Eu-core,social,bfs,8MB,large,GRASP,0.045826,POPT,0.045841,0.002,4
email-Eu-core,social,pr,1MB,large,POPT,0.007465,SRRIP,0.007664,0.020,4
email-Eu-core,social,pr,4MB,large,GRASP,0.007562,SRRIP,0.007569,0.001,4
email-Eu-core,social,pr,8MB,large,GRASP,0.007594,SRRIP,0.007789,0.019,4
roadNet-CA,road,bfs,4kB,tiny,GRASP,0.999418,POPT,0.999863,0.044,4
roadNet-CA,road,bfs,16kB,tiny,GRASP,0.998003,POPT,0.999222,0.122,4
roadNet-CA,road,bfs,64kB,small,POPT,0.973192,GRASP,0.992857,1.967,4
roadNet-CA,road,bfs,256kB,small,POPT,0.778553,SRRIP,0.866107,8.755,4
roadNet-CA,road,bfs,1MB,large,LRU,0.255352,SRRIP,0.301779,4.643,4
roadNet-CA,road,cc,4kB,tiny,GRASP,0.998348,SRRIP,0.998416,0.007,4
roadNet-CA,road,cc,16kB,tiny,GRASP,0.993890,POPT,0.996043,0.215,4
roadNet-CA,road,cc,64kB,small,GRASP,0.975342,SRRIP,0.975799,0.046,4
roadNet-CA,road,cc,256kB,small,SRRIP,0.910642,LRU,0.915969,0.533,4
roadNet-CA,road,cc,1MB,large,LRU,0.742777,SRRIP,0.748151,0.537,4
roadNet-CA,road,pr,4kB,tiny,POPT,0.999702,GRASP,0.999712,0.001,4
roadNet-CA,road,pr,16kB,tiny,GRASP,0.998909,POPT,0.999223,0.031,4
roadNet-CA,road,pr,64kB,small,POPT,0.982654,GRASP,0.995596,1.294,4
roadNet-CA,road,pr,256kB,small,POPT,0.933363,SRRIP,0.984989,5.163,4
roadNet-CA,road,pr,1MB,large,POPT,0.891772,SRRIP,0.939348,4.758,4
roadNet-CA,road,sssp,4kB,tiny,POPT,0.998356,GRASP,0.998617,0.026,4
roadNet-CA,road,sssp,16kB,tiny,POPT,0.986687,GRASP,0.995916,0.923,4
roadNet-CA,road,sssp,64kB,small,POPT,0.889296,SRRIP,0.914900,2.560,4
roadNet-CA,road,sssp,256kB,small,LRU,0.440889,SRRIP,0.468448,2.756,4
roadNet-CA,road,sssp,1MB,large,LRU,0.176259,SRRIP,0.191299,1.504,4
soc-LiveJournal1,social,bc,1MB,large,GRASP,0.794920,POPT,0.814773,1.985,4
soc-LiveJournal1,social,bc,4MB,large,GRASP,0.551066,POPT,0.569835,1.877,4
soc-LiveJournal1,social,bc,8MB,large,GRASP,0.390387,POPT,0.406215,1.583,4
soc-LiveJournal1,social,bfs,1MB,large,POPT,0.771569,SRRIP,0.782850,1.128,4
soc-LiveJournal1,social,bfs,4MB,large,POPT,0.588583,GRASP,0.600710,1.213,4
soc-LiveJournal1,social,bfs,8MB,large,POPT,0.521469,GRASP,0.531077,0.961,4
soc-LiveJournal1,social,cc,1MB,large,GRASP,0.745014,POPT,0.758990,1.398,4
soc-LiveJournal1,social,cc,4MB,large,GRASP,0.477399,POPT,0.495497,1.810,4
soc-LiveJournal1,social,cc,8MB,large,GRASP,0.319267,POPT,0.350099,3.083,4
soc-LiveJournal1,social,pr,1MB,large,POPT,0.624785,GRASP,0.684286,5.950,4
soc-LiveJournal1,social,pr,4MB,large,POPT,0.291691,GRASP,0.351445,5.975,4
soc-LiveJournal1,social,pr,8MB,large,POPT,0.179650,GRASP,0.201771,2.212,4
soc-LiveJournal1,social,sssp,1MB,large,POPT,0.673029,SRRIP,0.687091,1.406,4
soc-LiveJournal1,social,sssp,4MB,large,GRASP,0.308876,POPT,0.312181,0.331,4
soc-LiveJournal1,social,sssp,8MB,large,GRASP,0.128809,POPT,0.134584,0.578,4
soc-pokec,social,bc,1MB,large,GRASP,0.765123,POPT,0.795915,3.079,4
soc-pokec,social,bc,4MB,large,GRASP,0.420456,POPT,0.437630,1.717,4
soc-pokec,social,bc,8MB,large,GRASP,0.199376,POPT,0.202222,0.285,4
