graph,graph_family,app,l3_size,l3_regime,grasp_miss_rate,popt_miss_rate,delta_pp,classification
cit-Patents,citation,bc,1MB,large,0.929529,0.936885,0.736,grasp_better
cit-Patents,citation,bc,4MB,large,0.782743,0.814955,3.221,grasp_better
cit-Patents,citation,bc,8MB,large,0.641045,0.694021,5.298,grasp_better
cit-Patents,citation,bfs,1MB,large,0.973837,0.975989,0.215,tie
cit-Patents,citation,bfs,4MB,large,0.902658,0.920281,1.762,grasp_better
cit-Patents,citation,bfs,8MB,large,0.871203,0.858533,-1.267,popt_better
cit-Patents,citation,cc,1MB,large,0.596178,0.578232,-1.795,popt_better
cit-Patents,citation,cc,4MB,large,0.269624,0.297400,2.778,grasp_better
cit-Patents,citation,cc,8MB,large,0.159028,0.170627,1.160,grasp_better
cit-Patents,citation,pr,1MB,large,0.818199,0.761075,-5.712,popt_better
cit-Patents,citation,pr,4MB,large,0.453217,0.390667,-6.255,popt_better
cit-Patents,citation,pr,8MB,large,0.224824,0.205843,-1.898,popt_better
cit-Patents,citation,sssp,1MB,large,0.833649,0.859291,2.564,grasp_better
cit-Patents,citation,sssp,4MB,large,0.497809,0.554064,5.625,grasp_better
cit-Patents,citation,sssp,8MB,large,0.228219,0.286036,5.782,grasp_better
com-orkut,social,bc,1MB,large,0.796393,0.823194,2.680,grasp_better
com-orkut,social,bc,4MB,large,0.525040,0.590082,6.504,grasp_better
com-orkut,social,bc,8MB,large,0.340600,0.430049,8.945,grasp_better
com-orkut,social,bfs,1MB,large,0.998120,0.998389,0.027,tie
com-orkut,social,bfs,4MB,large,0.981189,0.991077,0.989,grasp_better
com-orkut,social,bfs,8MB,large,0.980723,0.976296,-0.443,tie
com-orkut,social,cc,1MB,large,0.670976,0.716069,4.509,grasp_better
com-orkut,social,cc,4MB,large,0.420493,0.549366,12.887,grasp_better
com-orkut,social,cc,8MB,large,0.411425,0.395845,-1.558,popt_better
com-orkut,social,pr,1MB,large,0.638302,0.673781,3.548,grasp_better
com-orkut,social,pr,4MB,large,0.299712,0.261308,-3.840,popt_better
com-orkut,social,pr,8MB,large,0.159906,0.132645,-2.726,popt_better
com-orkut,social,sssp,1MB,large,0.592884,0.653656,6.077,grasp_better
com-orkut,social,sssp,4MB,large,0.146198,0.187253,4.106,grasp_better
com-orkut,social,sssp,8MB,large,0.016905,0.029386,1.248,grasp_better
delaunay_n19,mesh,pr,4kB,tiny,0.999998,1.000000,0.000,tie
delaunay_n19,mesh,pr,16kB,tiny,0.999740,0.997714,-0.203,tie
delaunay_n19,mesh,pr,64kB,small,0.997298,0.977793,-1.950,popt_better
delaunay_n19,mesh,pr,256kB,small,0.982951,0.935871,-4.708,popt_better
delaunay_n19,mesh,pr,1MB,large,0.851601,0.810400,-4.120,popt_better
email-Eu-core,social,bc,1MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,bc,4MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,bc,8MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,bfs,1MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,bfs,4MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,bfs,8MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,pr,1MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,pr,4MB,large,1.000000,1.000000,0.000,tie
email-Eu-core,social,pr,8MB,large,1.000000,1.000000,0.000,tie
roadNet-CA,road,bc,4kB,tiny,0.999992,0.999916,-0.008,tie
roadNet-CA,road,bc,16kB,tiny,0.999890,0.998702,-0.119,tie
roadNet-CA,road,bc,64kB,small,0.994350,0.994936,0.059,tie
roadNet-CA,road,bc,256kB,small,0.915301,0.958136,4.283,grasp_better
roadNet-CA,road,bc,1MB,large,0.810849,0.825242,1.439,grasp_better
roadNet-CA,road,bfs,4kB,tiny,0.999762,1.000000,0.024,tie
roadNet-CA,road,bfs,16kB,tiny,0.995827,0.999935,0.411,tie
roadNet-CA,road,bfs,64kB,small,0.941734,0.995887,5.415,grasp_better
roadNet-CA,road,bfs,256kB,small,0.876772,0.854695,-2.208,popt_better
roadNet-CA,road,bfs,1MB,large,0.866917,0.592323,-27.459,popt_better
roadNet-CA,road,cc,4kB,tiny,0.999963,0.999957,-0.001,tie
roadNet-CA,road,cc,16kB,tiny,0.999506,0.999862,0.036,tie
roadNet-CA,road,cc,64kB,small,0.997974,0.998826,0.085,tie
roadNet-CA,road,cc,256kB,small,0.994503,0.985964,-0.854,popt_better
roadNet-CA,road,cc,1MB,large,0.945125,0.941915,-0.321,tie
roadNet-CA,road,pr,4kB,tiny,0.999644,1.000000,0.036,tie
roadNet-CA,road,pr,16kB,tiny,0.999512,0.999987,0.048,tie
roadNet-CA,road,pr,64kB,small,0.999210,0.991727,-0.748,popt_better
roadNet-CA,road,pr,256kB,small,0.988995,0.946870,-4.212,popt_better
roadNet-CA,road,pr,1MB,large,0.978026,0.913578,-6.445,popt_better
roadNet-CA,road,sssp,4kB,tiny,0.999397,0.999968,0.057,tie
roadNet-CA,road,sssp,16kB,tiny,0.986344,0.997557,1.121,grasp_better
roadNet-CA,road,sssp,64kB,small,0.869996,0.949577,7.958,grasp_better
roadNet-CA,road,sssp,256kB,small,0.800503,0.658647,-14.186,popt_better
roadNet-CA,road,sssp,1MB,large,0.724823,0.271238,-45.358,popt_better
soc-LiveJournal1,social,bc,1MB,large,0.831167,0.842514,1.135,grasp_better
soc-LiveJournal1,social,bc,4MB,large,0.600089,0.629821,2.973,grasp_better
soc-LiveJournal1,social,bc,8MB,large,0.440550,0.479932,3.938,grasp_better
soc-LiveJournal1,social,bfs,1MB,large,0.783742,0.805644,2.190,grasp_better
soc-LiveJournal1,social,bfs,4MB,large,0.572008,0.605591,3.358,grasp_better
soc-LiveJournal1,social,bfs,8MB,large,0.509865,0.519924,1.006,grasp_better
soc-LiveJournal1,social,cc,1MB,large,0.754597,0.703314,-5.128,popt_better
soc-LiveJournal1,social,cc,4MB,large,0.486233,0.510698,2.446,grasp_better
soc-LiveJournal1,social,cc,8MB,large,0.359253,0.402011,4.276,grasp_better
