graph,app,l3_size,policy,status,delta_pct,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,margin_pp,claim_kind,citation
cit-Patents,bc,1MB,SRRIP,ok,-0.4775,~,,5.0,3.0,7.525,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bc,1MB,GRASP,within_tolerance,1.4201,-,1.0,20.0,3.0,0.58,cache_policy,Faldu et al. HPCA 2020 Fig 11
cit-Patents,bc,1MB,POPT_GE_GRASP,ok,-1.6023,-,,,1.5,3.1023,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,bc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.6023,~,,5.0,2.0,8.6023,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,bc,4MB,SRRIP,ok,-0.9079,~,,5.0,3.0,7.095,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bc,4MB,POPT_GE_GRASP,ok,0.5181,-,,,1.5,0.9819,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,bc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.5181,~,,5.0,2.0,6.4819,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,bc,8MB,SRRIP,ok,-1.7958,~,,5.0,3.0,6.205,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bc,8MB,POPT_GE_GRASP,ok,1.3418,-,,,1.5,0.1582,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,bc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.3418,~,,5.0,2.0,5.6582,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,bfs,1MB,SRRIP,ok,-0.409,~,,5.0,3.0,7.595,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bfs,1MB,GRASP,ok,-1.1494,-,0.5,15.0,3.0,3.65,cache_policy,Faldu et al. HPCA 2020 Fig 11
cit-Patents,bfs,1MB,POPT_GE_GRASP,ok,0.1021,-,,,1.5,1.3979,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.1021,~,,5.0,2.0,6.8979,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,bfs,4MB,SRRIP,ok,-0.4895,~,,5.0,3.0,7.515,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bfs,4MB,POPT_GE_GRASP,ok,0.8973,-,,,1.5,0.6027,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,bfs,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.8973,~,,5.0,2.0,6.1027,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,bfs,8MB,SRRIP,ok,-0.2546,~,,5.0,3.0,7.75,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
cit-Patents,bfs,8MB,POPT_GE_GRASP,ok,0.7344,-,,,1.5,0.7656,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,bfs,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.7344,~,,5.0,2.0,6.2656,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,cc,1MB,SRRIP,ok,-4.2127,~,,10.0,3.0,8.79,cache_policy,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
cit-Patents,cc,1MB,POPT_GE_GRASP,known_deviation,8.7258,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,cc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,known_deviation,8.7258,~,,5.0,2.0,0.0,popt_near_grasp_if_big_gap,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,cc,4MB,SRRIP,ok,-2.2986,~,,10.0,3.0,10.705,cache_policy,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
cit-Patents,cc,4MB,POPT_GE_GRASP,known_deviation,3.6479,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,cc,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,3.6479,~,,5.0,2.0,3.3521,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,cc,8MB,SRRIP,ok,-2.1422,~,,10.0,3.0,10.86,cache_policy,Jaleel et al. ISCA 2010 §5.2 (scan-resistance argument extended to CC)
cit-Patents,cc,8MB,POPT_GE_GRASP,known_deviation,1.5277,-,,,1.5,0.0,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,cc,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.5277,~,,5.0,2.0,5.4723,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,pr,1MB,SRRIP,ok,-1.4682,~,,5.0,2.0,5.535,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
cit-Patents,pr,1MB,GRASP,ok,-10.89,-,3.0,25.0,2.0,9.89,cache_policy,Faldu et al. HPCA 2020 Fig 10
cit-Patents,pr,1MB,POPT,ok,-12.3138,-,3.0,30.0,2.0,11.315,cache_policy,Balaji & Lucia HPCA 2021 Fig 9
cit-Patents,pr,1MB,POPT_GE_GRASP,ok,-1.4238,-,,,1.0,2.4238,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
cit-Patents,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,1.4238,~,,5.0,2.0,8.4238,popt_near_grasp_active,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,pr,4MB,SRRIP,ok,-4.2773,~,,5.0,2.0,2.725,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
cit-Patents,pr,4MB,POPT_GE_GRASP,ok,-8.6517,-,,,1.0,9.6517,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
cit-Patents,pr,4MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,8.6517,~,,5.0,2.0,15.6517,popt_near_grasp_active,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,pr,8MB,SRRIP,ok,-5.0445,~,,5.0,2.0,1.96,cache_policy,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
cit-Patents,pr,8MB,GRASP,ok,-11.1489,-,0.5,10.0,2.0,12.65,cache_policy,Faldu et al. HPCA 2020 Fig 10
cit-Patents,pr,8MB,POPT_GE_GRASP,ok,-3.111,-,,,1.0,4.111,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3
cit-Patents,pr,8MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,3.111,~,,5.0,2.0,10.111,popt_near_grasp_active,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,sssp,1MB,SRRIP,ok,-0.4224,~,,5.0,3.0,7.58,cache_policy,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,sssp,1MB,GRASP,ok,-3.0624,-,0.5,15.0,3.0,5.565,cache_policy,Balaji & Lucia HPCA 2021 Fig 10 (GRASP bar)
cit-Patents,sssp,1MB,POPT,ok,-2.7818,-,1.0,25.0,2.0,3.785,cache_policy,Balaji & Lucia HPCA 2021 Fig 10
cit-Patents,sssp,1MB,POPT_GE_GRASP,ok,0.2806,-,,,1.5,1.2194,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,sssp,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,ok,0.2806,~,,5.0,2.0,6.7194,popt_near_grasp_inactive,Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check
cit-Patents,sssp,4MB,SRRIP,ok,-2.4063,~,,5.0,3.0,5.595,cache_policy,Jaleel et al. ISCA 2010 §5.2; Balaji & Lucia HPCA 2021 §6.3 (extended)
cit-Patents,sssp,4MB,POPT_GE_GRASP,ok,1.4111,-,,,1.5,0.0889,popt_ge_grasp,Balaji & Lucia HPCA 2021 §6.3 (extended)
