graph,app,l3_size,l3_ways,policy,policy_label,ecg_mode,l3_miss_rate,source
cit-Patents,bfs,4kB,16,ECG,ECG_DBG_ONLY,DBG_ONLY,0.999678,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,ECG,ECG_DBG_PRIMARY,DBG_PRIMARY,0.999636,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,ECG,ECG_DBG_PRIMARY_CHARGED,DBG_PRIMARY,0.999999,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,ECG,ECG_POPT_PRIMARY,POPT_PRIMARY,0.888687,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,GRASP,GRASP,,0.99961,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,LRU,LRU,,0.762542,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,POPT,POPT,,0.890784,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,POPT,POPT_CHARGED,,0.999999,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,bfs,4kB,16,SRRIP,SRRIP,,0.793442,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,ECG,ECG_DBG_ONLY,DBG_ONLY,0.996594,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,ECG,ECG_DBG_PRIMARY,DBG_PRIMARY,0.996541,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,ECG,ECG_DBG_PRIMARY_CHARGED,DBG_PRIMARY,0.999996,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,ECG,ECG_POPT_PRIMARY,POPT_PRIMARY,0.991885,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,GRASP,GRASP,,0.99657,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,LRU,LRU,,0.936663,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,POPT,POPT,,0.991195,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,POPT,POPT_CHARGED,,0.999994,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,pr,4kB,16,SRRIP,SRRIP,,0.917911,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,ECG,ECG_DBG_ONLY,DBG_ONLY,0.994845,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,ECG,ECG_DBG_PRIMARY,DBG_PRIMARY,0.993901,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,ECG,ECG_DBG_PRIMARY_CHARGED,DBG_PRIMARY,0.999977,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,ECG,ECG_POPT_PRIMARY,POPT_PRIMARY,0.971374,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,GRASP,GRASP,,0.994885,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,LRU,LRU,,0.990124,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,POPT,POPT,,0.969385,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,POPT,POPT_CHARGED,,0.999969,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
cit-Patents,sssp,4kB,16,SRRIP,SRRIP,,0.988988,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,ECG,ECG_DBG_ONLY,DBG_ONLY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,ECG,ECG_DBG_PRIMARY,DBG_PRIMARY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,ECG,ECG_DBG_PRIMARY_CHARGED,DBG_PRIMARY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,ECG,ECG_POPT_PRIMARY,POPT_PRIMARY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,GRASP,GRASP,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,LRU,LRU,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,POPT,POPT,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,POPT,POPT_CHARGED,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,bfs,4kB,16,SRRIP,SRRIP,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,ECG,ECG_DBG_ONLY,DBG_ONLY,0.988779,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,ECG,ECG_DBG_PRIMARY,DBG_PRIMARY,0.988627,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,ECG,ECG_DBG_PRIMARY_CHARGED,DBG_PRIMARY,0.999948,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,ECG,ECG_POPT_PRIMARY,POPT_PRIMARY,0.978429,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,GRASP,GRASP,,0.988937,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,LRU,LRU,,0.808603,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,POPT,POPT,,0.986906,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,POPT,POPT_CHARGED,,0.999945,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,pr,4kB,16,SRRIP,SRRIP,,0.848518,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,ECG,ECG_DBG_ONLY,DBG_ONLY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,ECG,ECG_DBG_PRIMARY,DBG_PRIMARY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,ECG,ECG_DBG_PRIMARY_CHARGED,DBG_PRIMARY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,ECG,ECG_POPT_PRIMARY,POPT_PRIMARY,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,GRASP,GRASP,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,LRU,LRU,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,POPT,POPT,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,POPT,POPT_CHARGED,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
com-orkut,sssp,4kB,16,SRRIP,SRRIP,,1.0,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
soc-LiveJournal1,bfs,4kB,16,ECG,ECG_DBG_ONLY,DBG_ONLY,0.996131,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
soc-LiveJournal1,bfs,4kB,16,ECG,ECG_DBG_PRIMARY,DBG_PRIMARY,0.995258,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
soc-LiveJournal1,bfs,4kB,16,ECG,ECG_DBG_PRIMARY_CHARGED,DBG_PRIMARY,0.999986,results/ecg_experiments/paper_pipeline/20260529_013830/final_cache_sim/combined_roi_matrix.csv
