family,regime,graph,app,l3_size,winner,runner_up,margin_pp,hub_concentration,clustering_coeff,avg_degree
citation,large,cit-Patents,bc,1MB,GRASP,POPT,0.736,0.337800,0.066880,11.473600
citation,large,cit-Patents,bc,4MB,GRASP,SRRIP,2.549,0.337800,0.066880,11.473600
citation,large,cit-Patents,bc,8MB,GRASP,SRRIP,2.501,0.337800,0.066880,11.473600
citation,large,cit-Patents,bfs,1MB,GRASP,POPT,0.215,0.337800,0.066880,11.473600
citation,large,cit-Patents,bfs,4MB,GRASP,POPT,1.762,0.337800,0.066880,11.473600
citation,large,cit-Patents,bfs,8MB,POPT,GRASP,1.267,0.337800,0.066880,11.473600
citation,large,cit-Patents,cc,1MB,POPT,GRASP,1.795,0.337800,0.066880,11.473600
citation,large,cit-Patents,cc,4MB,GRASP,POPT,2.778,0.337800,0.066880,11.473600
citation,large,cit-Patents,cc,8MB,GRASP,POPT,1.160,0.337800,0.066880,11.473600
citation,large,cit-Patents,pr,1MB,POPT,GRASP,5.712,0.337800,0.066880,11.473600
citation,large,cit-Patents,pr,4MB,POPT,GRASP,6.255,0.337800,0.066880,11.473600
citation,large,cit-Patents,pr,8MB,POPT,GRASP,1.898,0.337800,0.066880,11.473600
citation,large,cit-Patents,sssp,1MB,GRASP,POPT,2.564,0.337800,0.066880,11.473600
citation,large,cit-Patents,sssp,4MB,GRASP,SRRIP,4.832,0.337800,0.066880,11.473600
citation,large,cit-Patents,sssp,8MB,GRASP,SRRIP,2.104,0.337800,0.066880,11.473600
mesh,tiny,delaunay_n19,pr,16kB,POPT,GRASP,0.203,0.138000,0.378690,6.318800
mesh,large,delaunay_n19,pr,1MB,POPT,GRASP,4.120,0.138000,0.378690,6.318800
mesh,small,delaunay_n19,pr,256kB,POPT,GRASP,4.708,0.138000,0.378690,6.318800
mesh,tiny,delaunay_n19,pr,4kB,GRASP,LRU,0.000,0.138000,0.378690,6.318800
mesh,small,delaunay_n19,pr,64kB,POPT,GRASP,1.950,0.138000,0.378690,6.318800
road,tiny,roadNet-CA,bc,16kB,POPT,GRASP,0.119,0.140530,0.062930,2.906200
road,large,roadNet-CA,bc,1MB,LRU,SRRIP,0.645,0.140530,0.062930,2.906200
road,small,roadNet-CA,bc,256kB,GRASP,POPT,4.283,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,bc,4kB,POPT,GRASP,0.008,0.140530,0.062930,2.906200
road,small,roadNet-CA,bc,64kB,GRASP,POPT,0.059,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,bfs,16kB,GRASP,POPT,0.411,0.140530,0.062930,2.906200
road,large,roadNet-CA,bfs,1MB,LRU,SRRIP,4.381,0.140530,0.062930,2.906200
road,small,roadNet-CA,bfs,256kB,POPT,GRASP,2.208,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,bfs,4kB,GRASP,LRU,0.024,0.140530,0.062930,2.906200
road,small,roadNet-CA,bfs,64kB,GRASP,POPT,5.415,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,cc,16kB,GRASP,POPT,0.036,0.140530,0.062930,2.906200
road,large,roadNet-CA,cc,1MB,POPT,GRASP,0.321,0.140530,0.062930,2.906200
road,small,roadNet-CA,cc,256kB,POPT,GRASP,0.854,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,cc,4kB,POPT,GRASP,0.001,0.140530,0.062930,2.906200
road,small,roadNet-CA,cc,64kB,GRASP,POPT,0.085,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,pr,16kB,GRASP,POPT,0.048,0.140530,0.062930,2.906200
road,large,roadNet-CA,pr,1MB,POPT,LRU,3.892,0.140530,0.062930,2.906200
road,small,roadNet-CA,pr,256kB,POPT,GRASP,4.212,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,pr,4kB,GRASP,LRU,0.036,0.140530,0.062930,2.906200
road,small,roadNet-CA,pr,64kB,POPT,GRASP,0.748,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,sssp,16kB,GRASP,POPT,1.121,0.140530,0.062930,2.906200
road,large,roadNet-CA,sssp,1MB,LRU,SRRIP,1.141,0.140530,0.062930,2.906200
road,small,roadNet-CA,sssp,256kB,SRRIP,LRU,1.520,0.140530,0.062930,2.906200
road,tiny,roadNet-CA,sssp,4kB,GRASP,POPT,0.057,0.140530,0.062930,2.906200
road,small,roadNet-CA,sssp,64kB,GRASP,POPT,7.958,0.140530,0.062930,2.906200
social,large,com-orkut,bc,1MB,GRASP,SRRIP,2.414,0.439780,0.008030,113.893200
social,large,com-orkut,bc,4MB,GRASP,SRRIP,2.196,0.439780,0.008030,113.893200
social,large,com-orkut,bc,8MB,GRASP,SRRIP,0.927,0.439780,0.008030,113.893200
social,large,com-orkut,bfs,1MB,GRASP,POPT,0.027,0.439780,0.008030,113.893200
social,large,com-orkut,bfs,4MB,GRASP,POPT,0.989,0.439780,0.008030,113.893200
social,large,com-orkut,bfs,8MB,POPT,GRASP,0.443,0.439780,0.008030,113.893200
social,large,com-orkut,cc,1MB,GRASP,SRRIP,3.710,0.439780,0.008030,113.893200
social,large,com-orkut,cc,4MB,GRASP,POPT,12.887,0.439780,0.008030,113.893200
